ym,0-14,15-64,65
201404,2546,20399,5020
201405,2537,20369,5023
201406,2519,20362,5027
201407,2508,20344,5032
201408,2499,20318,5038
201409,2501,20310,5058
201410,2484,20260,5081
201411,2479,20230,5108
201412,2490,20214,5128
201501,2468,20114,5151
201502,2479,20084,5165
201503,2470,20011,5170
201504,2451,19996,5188
201505,2453,19978,5200
201506,2458,19923,5200
201507,2439,19887,5208
201508,2405,19869,5235
201509,2406,19842,5249
201510,2399,19791,5269
201511,2370,19744,5291
201512,2344,19718,5326
201601,2340,19684,5345
201602,2350,19642,5375
201603,2376,19596,5379
201604,2360,19591,5405
201605,2347,19541,5393
201606,2325,19521,5394
201607,2321,19469,5406
201608,2303,19446,5414
201609,2299,19406,5433
201610,2305,19358,5474
201611,2301,19336,5525
201612,2303,19298,5550
201701,2321,19261,5582
201702,2307,19213,5608
201703,2309,19207,5642
201704,2305,19216,5660
201705,2297,19183,5693
201706,2273,19160,5711
201707,2254,19149,5723
201708,2239,19104,5727
201709,2227,19058,5737
201710,2219,18986,5773
201711,2227,18929,5803
201712,2244,18906,5841
201801,2222,18868,5860
201802,2222,18836,5876
201803,2236,18808,5868
201804,2235,18791,5890
201805,2230,18757,5901
201806,2212,18726,5921
201807,2210,18655,5936
201808,2195,18612,5955
201809,2185,18576,5976
201810,2187,18531,6014
201811,2182,18541,6048
201812,2179,18573,6079
201901,2179,18556,6108
201902,2183,18530,6119
201903,2171,18511,6143
201904,2165,18510,6161
201905,2153,18485,6178
201906,2151,18465,6213
201907,2157,18439,6226
201908,2145,18440,6248
201909,2130,18444,6274
201910,2123,18403,6306
201911,2119,18383,6356
201912,2105,18375,6399
202001,2113,18381,6414
202002,2138,18344,6442
202003,2155,18330,6469
202004,2142,18275,6491
202005,2134,18262,6505
202006,2139,18190,6504
202007,2158,18192,6517
202008,2140,18133,6543
202009,2113,18061,6560
202010,2096,18027,6606
202011,2096,17992,6644
202012,2087,17941,6640
202101,2082,17926,6653
202102,2090,17891,6669
202103,2086,17852,6686
202104,2089,17788,6703
202105,2088,17781,6708
202106,2091,17755,6726
202107,2066,17693,6739
202108,2080,17666,6752
202109,2080,17636,6786
202110,2079,17620,6795
202111,2066,17592,6805
202112,2063,17554,6799
202201,2054,17513,6809
202202,2043,17449,6814
202203,2036,17354,6748
202204,2039,17328,6739
202205,2021,17421,6763
202206,2008,17436,6771
202207,2014,17471,6776
202208,2026,17515,6800
