ym,0-14,15-64,65
201404,2556,18784,4394
201405,2522,18745,4403
201406,2490,18690,4410
201407,2494,18662,4415
201408,2463,18671,4414
201409,2446,18586,4447
201410,2440,18538,4476
201411,2439,18519,4492
201412,2418,18495,4487
201501,2417,18498,4496
201502,2404,18473,4502
201503,2414,18443,4506
201504,2394,18387,4526
201505,2349,18370,4528
201506,2335,18343,4542
201507,2326,18309,4539
201508,2310,18268,4548
201509,2280,18225,4562
201510,2243,18191,4593
201511,2238,18174,4617
201512,2251,18159,4622
201601,2237,18115,4645
201602,2240,18083,4660
201603,2218,18003,4682
201604,2206,17981,4690
201605,2198,17961,4707
201606,2180,17927,4722
201607,2160,17872,4739
201608,2143,17828,4757
201609,2136,17772,4772
201610,2130,17746,4812
201611,2117,17706,4840
201612,2119,17680,4860
201701,2109,17643,4886
201702,2103,17609,4906
201703,2100,17555,4916
201704,2085,17514,4929
201705,2076,17504,4923
201706,2061,17471,4935
201707,2042,17425,4946
201708,2021,17377,4965
201709,2014,17302,4971
201710,2002,17251,4992
201711,2008,17212,5029
201712,1992,17185,5042
201801,1983,17166,5086
201802,1983,17133,5113
201803,1952,17114,5121
201804,1946,17129,5120
201805,1922,17148,5142
201806,1920,17121,5158
201807,1911,17084,5183
201808,1897,17036,5195
201809,1898,17001,5209
201810,1892,16964,5242
201811,1891,16930,5273
201812,1898,16872,5289
201901,1912,16846,5290
201902,1932,16790,5319
201903,1919,16772,5347
201904,1901,16733,5354
201905,1886,16720,5360
201906,1876,16703,5369
201907,1883,16720,5387
201908,1873,16686,5410
201909,1852,16648,5435
201910,1844,16616,5458
201911,1845,16563,5464
201912,1865,16555,5469
202001,1878,16551,5489
202002,1870,16490,5504
202003,1881,16468,5508
202004,1857,16465,5517
202005,1855,16434,5530
202006,1853,16410,5537
202007,1824,16345,5543
202008,1803,16294,5556
202009,1804,16248,5581
202010,1802,16193,5599
202011,1800,16158,5602
202012,1802,16130,5621
202101,1800,16078,5628
202102,1807,16052,5632
202103,1805,16013,5635
202104,1795,15955,5639
202105,1770,15916,5654
202106,1770,15876,5666
202107,1768,15831,5673
202108,1760,15777,5694
202109,1730,15672,5710
202110,1718,15555,5731
202111,1714,15500,5721
202112,1713,15450,5749
202201,1710,15400,5750
202202,1707,15294,5762
202203,1709,15226,5757
202204,1688,15126,5738
202205,1673,15101,5757
202206,1679,15096,5756
202207,1669,15097,5758
202208,1649,15072,5776
