ym,0-14,15-64,65
201404,4350,27973,4740
201405,4352,27973,4745
201406,4354,27984,4749
201407,4337,27991,4753
201408,4372,28001,4777
201409,4353,27984,4798
201410,4339,28002,4817
201411,4333,27982,4858
201412,4334,27984,4880
201501,4347,27981,4899
201502,4332,27972,4927
201503,4354,27983,4962
201504,4341,27964,4991
201505,4322,27970,5005
201506,4314,27982,5010
201507,4302,28032,5015
201508,4301,28006,5056
201509,4254,28005,5075
201510,4226,27964,5100
201511,4216,27925,5137
201512,4215,27946,5156
201601,4197,27938,5193
201602,4201,27940,5216
201603,4213,27910,5233
201604,4206,27875,5249
201605,4202,27853,5278
201606,4178,27841,5313
201607,4177,27863,5326
201608,4176,27887,5348
201609,4171,27868,5393
201610,4173,27825,5452
201611,4165,27797,5493
201612,4164,27784,5500
201701,4148,27771,5538
201702,4150,27769,5575
201703,4136,27778,5606
201704,4123,27773,5640
201705,4108,27750,5671
201706,4099,27760,5685
201707,4085,27789,5716
201708,4073,27771,5742
201709,4057,27753,5765
201710,4052,27753,5800
201711,4048,27725,5833
201712,4015,27702,5862
201801,4003,27703,5908
201802,3996,27683,5939
201803,3997,27608,5978
201804,4022,27620,5983
201805,4027,27595,5997
201806,4021,27583,6015
201807,4021,27558,6035
201808,4041,27569,6042
201809,4035,27556,6060
201810,4032,27530,6085
201811,4023,27519,6116
201812,4011,27483,6156
201901,4012,27445,6187
201902,3997,27376,6230
201903,3975,27391,6263
201904,3994,27419,6301
201905,3998,27480,6342
201906,4001,27509,6365
201907,4034,27590,6387
201908,4024,27652,6418
201909,4012,27736,6464
201910,4003,27719,6508
201911,3985,27710,6557
201912,3995,27683,6576
202001,3973,27728,6621
202002,3980,27750,6655
202003,4009,27755,6692
202004,4008,27774,6719
202005,4011,27808,6724
202006,4007,27819,6756
202007,4010,27865,6782
202008,4028,27895,6818
202009,4038,27908,6859
202010,4060,27907,6917
202011,4064,27907,6948
202012,4057,27924,6974
202101,4026,27941,6982
202102,4035,27945,7017
202103,4038,27968,7048
202104,4054,27976,7106
202105,4050,28027,7137
202106,4067,28101,7155
202107,4089,28251,7188
202108,4106,28396,7240
202109,4117,28517,7269
202110,4127,28554,7285
202111,4144,28610,7306
202112,4155,28615,7324
202201,4153,28602,7355
202202,4155,28556,7368
202203,4174,28525,7384
202204,4154,28512,7399
202205,4171,28519,7413
202206,4164,28525,7427
202207,4163,28537,7438
202208,4158,28576,7445
