ym,0-14,15-64,65
201412,26489,138228,16714
201501,26503,138389,16825
201502,26539,138749,16900
201503,26696,139164,17019
201504,26795,139579,17145
201505,26870,139995,17193
201506,26868,140394,17231
201507,27022,140898,17253
201508,27097,141209,17359
201509,27137,141616,17484
201510,27093,141905,17619
201511,27114,142153,17736
201512,27172,142385,17863
201601,27268,142578,18002
201602,27299,142759,18119
201603,27432,143009,18217
201604,27480,143228,18349
201605,27607,143481,18450
201606,27648,143739,18595
201607,27755,144060,18711
201608,27848,144361,18823
201609,27908,144655,18973
201610,28015,144846,19164
201611,28121,145110,19311
201612,28169,145306,19447
201701,28188,145415,19633
201702,28268,145561,19747
201703,28350,145688,19882
201704,28363,145825,20051
201705,28368,146115,20197
201706,28496,146492,20334
201707,28570,146885,20405
201708,28701,147249,20546
201709,28732,147486,20674
201710,28787,147653,20821
201711,28859,147781,20996
201712,28973,147973,21128
201801,29035,148156,21282
201802,29114,148277,21405
201803,29191,148423,21567
201804,29188,148551,21701
201805,29282,148719,21811
201806,29313,148852,21949
201807,29404,149007,22074
201808,29472,149179,22187
201809,29561,149264,22359
201810,29639,149361,22493
201811,29639,149422,22669
201812,29715,149647,22836
201901,29819,149801,23013
201902,29859,149905,23166
201903,29881,150013,23342
201904,29942,150141,23486
201905,29953,150229,23629
201906,30010,150414,23719
201907,30135,150541,23839
201908,30188,150686,23953
201909,30213,150779,24124
201910,30250,150801,24337
201911,30284,150886,24516
201912,30383,150906,24685
202001,30421,151092,24896
202002,30435,151199,25066
202003,30459,151323,25253
202004,30426,151387,25413
202005,30401,151396,25577
202006,30410,151436,25686
202007,30434,151573,25819
202008,30456,151789,25966
202009,30440,151807,26127
202010,30553,151826,26294
202011,30582,151861,26487
202012,30626,151922,26654
202101,30553,151829,26837
202102,30461,151761,26969
202103,30481,151618,27113
202104,30481,151500,27253
202105,30469,151413,27408
202106,30515,151376,27513
202107,30467,151373,27608
202108,30405,151297,27814
202109,30402,151257,28002
202110,30404,151190,28145
202111,30374,150987,28273
202112,30377,150876,28412
202201,30332,150672,28581
202202,30289,150456,28791
202203,30235,150340,28872
202204,30159,149947,28951
202205,30091,149910,29064
202206,30049,149887,29181
202207,30006,149888,29240
202208,29938,149846,29364
