ym,0-14,15-64,65
201404,2800,18837,4016
201405,2795,18822,4014
201406,2791,18821,4029
201407,2776,18823,4023
201408,2751,18800,4024
201409,2743,18780,4031
201410,2733,18775,4038
201411,2719,18748,4060
201412,2703,18702,4077
201501,2700,18688,4084
201502,2689,18682,4098
201503,2679,18656,4112
201504,2654,18631,4129
201505,2640,18609,4142
201506,2634,18565,4143
201507,2617,18534,4147
201508,2610,18485,4152
201509,2577,18455,4158
201510,2560,18437,4167
201511,2547,18412,4181
201512,2537,18379,4204
201601,2508,18332,4232
201602,2497,18310,4260
201603,2497,18289,4253
201604,2496,18259,4265
201605,2476,18230,4278
201606,2471,18198,4305
201607,2465,18160,4319
201608,2464,18119,4342
201609,2454,18058,4368
201610,2446,18021,4384
201611,2441,17989,4406
201612,2421,17968,4437
201701,2407,17950,4445
201702,2389,17927,4453
201703,2396,17919,4448
201704,2395,17919,4460
201705,2381,17888,4469
201706,2377,17858,4474
201707,2359,17869,4466
201708,2345,17837,4472
201709,2330,17818,4476
201710,2314,17803,4488
201711,2303,17781,4504
201712,2284,17775,4512
201801,2275,17761,4528
201802,2280,17724,4550
201803,2270,17701,4547
201804,2269,17674,4560
201805,2271,17662,4573
201806,2271,17621,4594
201807,2268,17610,4608
201808,2266,17577,4613
201809,2246,17538,4623
201810,2248,17511,4654
201811,2226,17481,4671
201812,2208,17432,4683
201901,2193,17397,4688
201902,2188,17353,4704
201903,2183,17318,4703
201904,2195,17281,4721
201905,2198,17267,4718
201906,2195,17232,4732
201907,2208,17190,4736
201908,2202,17159,4760
201909,2185,17131,4780
201910,2182,17097,4810
201911,2179,17062,4819
201912,2170,17025,4828
202001,2155,16975,4837
202002,2141,16936,4844
202003,2129,16916,4849
202004,2127,16910,4866
202005,2108,16884,4867
202006,2106,16855,4892
202007,2103,16827,4902
202008,2091,16798,4918
202009,2083,16752,4938
202010,2074,16722,4957
202011,2066,16687,4986
202012,2051,16633,4996
202101,2035,16587,5029
202102,2010,16570,5034
202103,2003,16524,5055
202104,2015,16487,5070
202105,2006,16451,5082
202106,2006,16402,5095
202107,2003,16380,5083
202108,1987,16330,5093
202109,1979,16295,5089
202110,1959,16254,5100
202111,1946,16214,5118
202112,1938,16186,5122
202201,1925,16155,5131
202202,1913,16129,5142
202203,1921,16082,5148
202204,1933,16032,5156
202205,1928,16026,5163
202206,1927,16008,5165
202207,1924,15991,5170
202208,1939,15986,5160
