ym,0-14,15-64,65
201404,4216,27759,4970
201405,4187,27699,4984
201406,4167,27664,4992
201407,4168,27670,4989
201408,4159,27653,4998
201409,4147,27637,5008
201410,4122,27619,5017
201411,4118,27617,5033
201412,4104,27559,5029
201501,4065,27521,5049
201502,4038,27509,5055
201503,3997,27460,5073
201504,3950,27430,5095
201505,3908,27419,5097
201506,3879,27414,5104
201507,3868,27415,5119
201508,3829,27377,5122
201509,3800,27360,5133
201510,3772,27344,5152
201511,3754,27316,5178
201512,3743,27275,5199
201601,3711,27236,5220
201602,3663,27158,5250
201603,3618,27099,5272
201604,3612,27098,5288
201605,3581,27070,5295
201606,3569,27031,5304
201607,3538,26998,5324
201608,3518,26990,5333
201609,3501,26945,5339
201610,3489,26910,5359
201611,3488,26846,5382
201612,3470,26819,5391
201701,3452,26809,5401
201702,3431,26763,5430
201703,3394,26725,5432
201704,3391,26681,5448
201705,3395,26623,5470
201706,3385,26586,5487
201707,3385,26563,5502
201708,3376,26545,5515
201709,3368,26515,5525
201710,3342,26487,5542
201711,3337,26440,5576
201712,3324,26410,5587
201801,3305,26380,5599
201802,3273,26343,5614
201803,3230,26285,5633
201804,3226,26259,5637
201805,3210,26262,5641
201806,3196,26229,5643
201807,3172,26198,5677
201808,3153,26184,5691
201809,3136,26138,5714
201810,3133,26102,5726
201811,3111,26079,5749
201812,3080,26031,5769
201901,3060,26005,5778
201902,3023,25978,5798
201903,3002,25936,5805
201904,3006,25900,5812
201905,3005,25831,5841
201906,2999,25802,5848
201907,3006,25792,5859
201908,3000,25762,5861
201909,2962,25719,5873
201910,2955,25702,5882
201911,2957,25646,5898
201912,2944,25609,5915
202001,2901,25550,5949
202002,2896,25520,5968
202003,2866,25483,5979
202004,2845,25412,5996
202005,2831,25369,6010
202006,2824,25316,6036
202007,2827,25292,6050
202008,2809,25268,6056
202009,2799,25237,6067
202010,2774,25186,6073
202011,2749,25148,6094
202012,2731,25103,6105
202101,2701,25038,6126
202102,2688,24985,6125
202103,2666,24947,6156
202104,2656,24890,6179
202105,2652,24852,6194
202106,2651,24810,6211
202107,2631,24789,6219
202108,2610,24717,6270
202109,2604,24655,6308
202110,2589,24603,6340
202111,2575,24548,6362
202112,2559,24510,6378
202201,2570,24492,6400
202202,2551,24421,6424
202203,2523,24363,6407
202204,2492,24300,6421
202205,2492,24265,6422
202206,2484,24243,6418
202207,2484,24210,6433
202208,2500,24209,6446
