ym,0-14,15-64,65
201404,2717,16695,2943
201405,2695,16676,2939
201406,2684,16671,2946
201407,2671,16688,2938
201408,2637,16675,2946
201409,2635,16656,2956
201410,2625,16632,2962
201411,2607,16636,2961
201412,2591,16611,2970
201501,2573,16589,2986
201502,2562,16596,2994
201503,2547,16584,3008
201504,2531,16604,3010
201505,2514,16599,3010
201506,2513,16587,3015
201507,2486,16595,3017
201508,2464,16611,3024
201509,2442,16641,3043
201510,2425,16613,3056
201511,2415,16593,3082
201512,2401,16584,3105
201601,2398,16579,3120
201602,2393,16559,3129
201603,2383,16553,3133
201604,2380,16562,3145
201605,2376,16550,3160
201606,2378,16546,3160
201607,2367,16545,3161
201608,2358,16542,3164
201609,2354,16543,3170
201610,2362,16520,3192
201611,2373,16512,3205
201612,2359,16505,3219
201701,2353,16516,3236
201702,2362,16493,3254
201703,2354,16506,3257
201704,2340,16514,3255
201705,2341,16486,3260
201706,2345,16477,3276
201707,2336,16483,3275
201708,2335,16507,3269
201709,2323,16495,3278
201710,2317,16477,3294
201711,2314,16464,3302
201712,2316,16471,3323
201801,2312,16463,3335
201802,2312,16436,3348
201803,2321,16424,3348
201804,2316,16437,3348
201805,2326,16436,3345
201806,2323,16445,3365
201807,2309,16430,3371
201808,2294,16411,3381
201809,2288,16413,3398
201810,2293,16380,3422
201811,2290,16371,3441
201812,2274,16333,3454
201901,2251,16344,3467
201902,2238,16308,3490
201903,2229,16262,3508
201904,2225,16235,3517
201905,2228,16228,3518
201906,2241,16230,3527
201907,2242,16218,3524
201908,2241,16211,3528
201909,2237,16210,3538
201910,2225,16209,3553
201911,2228,16178,3570
201912,2226,16184,3579
202001,2214,16163,3597
202002,2213,16154,3616
202003,2212,16143,3623
202004,2210,16135,3645
202005,2197,16111,3659
202006,2210,16133,3668
202007,2190,16114,3680
202008,2179,16122,3686
202009,2171,16086,3695
202010,2186,16080,3713
202011,2188,16049,3742
202012,2182,16028,3752
202101,2164,16001,3760
202102,2157,15972,3764
202103,2149,15933,3785
202104,2135,15900,3795
202105,2131,15873,3805
202106,2133,15857,3813
202107,2120,15833,3831
202108,2124,15811,3847
202109,2118,15795,3845
202110,2100,15785,3864
202111,2095,15775,3890
202112,2092,15737,3905
202201,2088,15682,3925
202202,2054,15676,3940
202203,2044,15645,3947
202204,2053,15661,3943
202205,2055,15671,3951
202206,2035,15661,3960
202207,2036,15664,3965
202208,2037,15655,3975
