ym,0-14,15-64,65
201404,2543,17874,5235
201405,2528,17895,5246
201406,2527,17920,5234
201407,2547,17918,5222
201408,2538,17885,5230
201409,2538,17872,5243
201410,2531,17852,5240
201411,2535,17812,5254
201412,2500,17759,5261
201501,2482,17727,5273
201502,2473,17705,5283
201503,2450,17675,5286
201504,2424,17643,5293
201505,2417,17613,5288
201506,2403,17577,5287
201507,2397,17583,5273
201508,2371,17568,5282
201509,2371,17542,5298
201510,2362,17543,5312
201511,2350,17511,5322
201512,2340,17491,5332
201601,2321,17451,5353
201602,2311,17400,5385
201603,2304,17370,5385
201604,2287,17330,5405
201605,2282,17309,5414
201606,2282,17279,5415
201607,2266,17259,5425
201608,2272,17235,5438
201609,2261,17196,5441
201610,2253,17196,5454
201611,2251,17169,5475
201612,2243,17146,5493
201701,2237,17128,5493
201702,2224,17093,5509
201703,2210,17073,5524
201704,2197,17048,5527
201705,2189,17029,5524
201706,2172,17017,5527
201707,2166,17009,5527
201708,2170,16963,5540
201709,2157,16957,5554
201710,2146,16952,5561
201711,2139,16920,5579
201712,2126,16888,5608
201801,2122,16880,5610
201802,2113,16850,5621
201803,2085,16828,5619
201804,2077,16809,5616
201805,2060,16842,5613
201806,2034,16833,5620
201807,2020,16830,5625
201808,2021,16817,5633
201809,2011,16819,5636
201810,2000,16793,5651
201811,1991,16777,5667
201812,1972,16739,5673
201901,1948,16710,5677
201902,1948,16664,5696
201903,1927,16595,5717
201904,1908,16549,5724
201905,1895,16529,5716
201906,1901,16502,5729
201907,1896,16485,5730
201908,1881,16462,5736
201909,1888,16416,5739
201910,1878,16393,5735
201911,1883,16373,5758
201912,1890,16354,5762
202001,1898,16312,5756
202002,1876,16301,5775
202003,1860,16264,5783
202004,1861,16234,5792
202005,1872,16238,5789
202006,1862,16236,5788
202007,1847,16236,5804
202008,1850,16215,5808
202009,1841,16179,5825
202010,1837,16139,5836
202011,1841,16106,5853
202012,1838,16076,5861
202101,1820,16037,5872
202102,1796,16013,5872
202103,1797,15993,5878
202104,1799,15969,5876
202105,1814,15934,5884
202106,1817,15912,5883
202107,1820,15865,5898
202108,1815,15847,5905
202109,1813,15818,5919
202110,1808,15793,5915
202111,1802,15749,5925
202112,1795,15708,5936
202201,1793,15684,5930
202202,1784,15667,5937
202203,1763,15656,5945
202204,1745,15652,5959
202205,1733,15652,5964
202206,1724,15626,5963
202207,1732,15588,5971
202208,1737,15554,5979
