ym,0-14,15-64,65
201404,32474,146603,31477
201405,32421,146618,31535
201406,32454,146630,31576
201407,32398,146535,31626
201408,32339,146243,31778
201409,32269,145948,31933
201410,32251,145887,32129
201411,32228,145932,32322
201412,32232,145842,32399
201501,32184,145663,32586
201502,32117,145685,32702
201503,32181,145613,32859
201504,32210,145596,32994
201505,32167,145566,33061
201506,32155,145418,33075
201507,32059,145055,33112
201508,31982,144636,33238
201509,31760,144233,33369
201510,31715,144233,33525
201511,31622,144141,33697
201512,31616,144191,33907
201601,31623,143977,34089
201602,31535,143875,34274
201603,31555,143762,34423
201604,31548,143533,34557
201605,31554,143350,34691
201606,31553,143217,34804
201607,31514,142967,34907
201608,31426,142448,35010
201609,31256,141985,35146
201610,31213,141770,35304
201611,31254,141544,35439
201612,31333,141425,35568
201701,31304,141247,35738
201702,31284,141053,35913
201703,31240,140870,36032
201704,31219,140814,36119
201705,31162,140650,36205
201706,31179,140509,36269
201707,31094,140170,36376
201708,31040,139703,36451
201709,30909,139359,36561
201710,30883,139240,36782
201711,30839,139074,36966
201712,30849,139035,37104
201801,30830,139026,37251
201802,30767,138854,37345
201803,30734,138580,37456
201804,30603,138429,37545
201805,30586,138303,37631
201806,30591,138248,37724
201807,30512,138014,37804
201808,30476,137703,37939
201809,30379,137301,38127
201810,30349,137134,38343
201811,30314,136917,38457
201812,30327,136783,38592
201901,30369,136577,38687
201902,30342,136431,38853
201903,30325,136263,39000
201904,30281,136106,39085
201905,30239,135907,39142
201906,30280,135668,39271
201907,30190,135369,39344
201908,30068,134971,39421
201909,29956,134592,39502
201910,29983,134401,39682
201911,29930,134286,39850
201912,29996,134188,40009
202001,29915,133966,40162
202002,29827,133580,40251
202003,29733,133232,40350
202004,29652,132882,40396
202005,29550,132548,40449
202006,29538,132278,40510
202007,29455,131932,40588
202008,29316,131372,40715
202009,29172,130824,40841
202010,29132,130628,41007
202011,29114,130340,41073
202012,29199,130064,41053
202101,29088,129739,41144
202102,29011,129402,41243
202103,28897,128899,41241
202104,28819,128537,41247
202105,28735,128230,41155
202106,28701,127944,41095
202107,28532,127349,41009
202108,28323,126584,41057
202109,28106,125723,41147
202110,28044,125387,41169
202111,27998,124944,41128
202112,27972,124474,40942
202201,27893,123763,40855
202202,27725,122971,40785
202203,27578,121993,40390
202204,27432,121267,40227
202205,27221,120688,40160
202206,27179,120586,40200
202207,27191,120542,40207
202208,27152,120359,40346
