ym,0-14,15-64,65
201404,29412,167320,32343
201405,29380,167394,32393
201406,29374,167510,32467
201407,29375,167560,32611
201408,29400,167494,32744
201409,29388,167488,32936
201410,29433,167507,33162
201411,29431,167478,33363
201412,29539,167469,33488
201501,29593,167538,33702
201502,29546,167492,33854
201503,29525,167316,34026
201504,29458,167208,34205
201505,29390,167203,34348
201506,29374,167221,34395
201507,29281,167007,34390
201508,29226,166841,34525
201509,29201,166823,34685
201510,29183,166799,34893
201511,29140,166793,35127
201512,29228,166760,35362
201601,29275,166431,35580
201602,29262,166266,35781
201603,29236,166025,35936
201604,29171,165873,36072
201605,29183,165700,36225
201606,29244,165608,36338
201607,29268,165569,36451
201608,29271,165294,36601
201609,29232,165059,36815
201610,29263,164930,36976
201611,29212,164779,37173
201612,29214,164686,37347
201701,29216,164525,37591
201702,29219,164272,37772
201703,29221,164047,37926
201704,29212,163813,38114
201705,29145,163665,38258
201706,29160,163560,38348
201707,29098,163395,38458
201708,29069,163196,38616
201709,29057,162970,38785
201710,28962,162789,39027
201711,28940,162613,39195
201712,28948,162432,39330
201801,28895,162145,39518
201802,28889,161937,39669
201803,28820,161699,39805
201804,28786,161409,39910
201805,28787,161109,39997
201806,28732,160976,40148
201807,28737,160854,40302
201808,28671,160608,40464
201809,28611,160447,40628
201810,28604,160255,40821
201811,28551,160110,40993
201812,28488,159798,41170
201901,28459,159526,41324
201902,28402,159168,41518
201903,28294,158840,41697
201904,28267,158614,41828
201905,28168,158315,41935
201906,28130,158113,42042
201907,28073,157851,42151
201908,27981,157550,42276
201909,27895,157307,42496
201910,27819,157050,42685
201911,27750,156758,42921
201912,27750,156563,43074
202001,27743,156205,43318
202002,27625,155745,43482
202003,27501,155333,43621
202004,27418,154972,43708
202005,27305,154643,43814
202006,27333,154462,43917
202007,27285,154169,44057
202008,27224,153870,44227
202009,27121,153445,44376
202010,27037,153079,44591
202011,26959,152664,44749
202012,26877,152157,44842
202101,26744,151700,44994
202102,26618,151281,45079
202103,26442,150667,45186
202104,26278,150161,45240
202105,26164,149651,45129
202106,26164,149313,45063
202107,26020,148802,45018
202108,25747,148166,45146
202109,25471,147383,45300
202110,25257,146678,45342
202111,25130,146099,45327
202112,25037,145373,45157
202201,24876,144568,45119
202202,24685,143404,45114
202203,24527,142540,44878
202204,24291,141517,44639
202205,24130,141021,44647
202206,24141,141036,44678
202207,24161,141025,44814
202208,24119,140933,44995
