ym,0-14,15-64,65
201404,18153,82108,10048
201405,18152,82208,10077
201406,18173,82353,10094
201407,18132,82501,10124
201408,18127,82648,10185
201409,18095,82862,10206
201410,18112,82945,10260
201411,18102,83001,10313
201412,18087,83140,10361
201501,18039,83175,10427
201502,17980,83238,10467
201503,17961,83307,10496
201504,17944,83397,10568
201505,17919,83554,10601
201506,17835,83591,10633
201507,17812,83646,10660
201508,17754,83716,10700
201509,17731,83876,10753
201510,17680,83922,10845
201511,17629,84020,10920
201512,17594,84145,10969
201601,17553,84185,11037
201602,17546,84278,11089
201603,17533,84338,11127
201604,17547,84422,11177
201605,17554,84475,11251
201606,17575,84541,11326
201607,17564,84689,11369
201608,17533,84732,11431
201609,17528,84893,11520
201610,17496,84929,11592
201611,17493,85014,11657
201612,17466,84969,11745
201701,17431,84960,11824
201702,17438,84952,11909
201703,17449,84931,11969
201704,17431,84958,12014
201705,17373,84929,12060
201706,17334,84953,12109
201707,17295,85035,12153
201708,17283,85108,12212
201709,17232,85107,12286
201710,17244,85106,12385
201711,17215,85161,12465
201712,17188,85172,12566
201801,17182,85200,12619
201802,17173,85198,12678
201803,17183,85248,12754
201804,17159,85286,12804
201805,17209,85360,12861
201806,17209,85443,12878
201807,17226,85470,12934
201808,17211,85459,12965
201809,17189,85449,13032
201810,17150,85464,13098
201811,17133,85481,13152
201812,17130,85441,13249
201901,17120,85465,13311
201902,17099,85462,13386
201903,17084,85508,13466
201904,17057,85534,13513
201905,17071,85518,13572
201906,17025,85529,13622
201907,17035,85509,13657
201908,16987,85555,13721
201909,16952,85536,13799
201910,16944,85521,13873
201911,16937,85518,13959
201912,16908,85546,14024
202001,16897,85555,14135
202002,16893,85496,14253
202003,16896,85443,14323
202004,16892,85393,14365
202005,16914,85473,14423
202006,16914,85506,14478
202007,16897,85503,14552
202008,16857,85502,14618
202009,16816,85409,14669
202010,16794,85333,14772
202011,16750,85345,14874
202012,16677,85277,14963
202101,16646,85182,15038
202102,16631,85081,15089
202103,16592,85000,15178
202104,16560,84961,15234
202105,16540,84876,15292
202106,16507,84808,15333
202107,16457,84718,15374
202108,16361,84518,15482
202109,16303,84399,15578
202110,16226,84321,15618
202111,16187,84210,15704
202112,16165,84082,15772
202201,16115,83992,15799
202202,16084,83895,15883
202203,16025,83718,15910
202204,15927,83414,15931
202205,15879,83352,15954
202206,15864,83303,15986
202207,15801,83235,16061
202208,15730,83205,16105
