ym,0-14,15-64,65
201404,22690,152895,18440
201405,22699,153012,18507
201406,22628,153090,18572
201407,22599,153215,18653
201408,22550,153384,18781
201409,22476,153480,18923
201410,22468,153435,19037
201411,22449,153337,19132
201412,22425,153470,19245
201501,22345,153415,19407
201502,22266,153379,19501
201503,22255,153219,19639
201504,22192,153190,19796
201505,22152,153280,19863
201506,22088,153401,19885
201507,22026,153571,19928
201508,21917,153724,20031
201509,21786,153831,20192
201510,21717,153864,20328
201511,21623,153969,20462
201512,21550,153890,20588
201601,21524,153856,20770
201602,21462,153785,20889
201603,21432,153650,21055
201604,21376,153665,21167
201605,21381,153742,21309
201606,21290,153674,21444
201607,21297,153812,21604
201608,21218,153902,21723
201609,21252,154011,21847
201610,21198,154049,22026
201611,21191,154164,22218
201612,21226,154114,22409
201701,21237,154031,22609
201702,21223,154002,22778
201703,21168,154004,22958
201704,21119,154002,23080
201705,21091,154114,23216
201706,21017,154149,23369
201707,20987,154252,23495
201708,20924,154387,23637
201709,20903,154385,23838
201710,20844,154353,24043
201711,20785,154224,24210
201712,20773,154197,24351
201801,20758,154147,24552
201802,20722,154039,24712
201803,20714,153885,24912
201804,20660,153783,25069
201805,20595,153756,25180
201806,20547,153763,25328
201807,20526,153734,25476
201808,20495,153845,25610
201809,20446,153938,25762
201810,20387,153899,25931
201811,20352,153891,26096
201812,20356,153914,26265
201901,20403,153940,26432
201902,20400,153875,26645
201903,20447,153863,26841
201904,20464,153894,26958
201905,20470,153941,27137
201906,20395,153992,27271
201907,20459,154338,27410
201908,20428,154541,27564
201909,20442,154664,27743
201910,20445,154703,27921
201911,20461,154665,28124
201912,20495,154593,28341
202001,20444,154613,28564
202002,20479,154606,28779
202003,20504,154657,28998
202004,20491,154719,29177
202005,20529,154783,29346
202006,20498,154769,29499
202007,20517,154867,29656
202008,20507,155034,29810
202009,20492,155016,29931
202010,20493,154892,30119
202011,20532,154841,30282
202012,20570,154858,30419
202101,20507,154669,30612
202102,20505,154583,30765
202103,20431,154419,30957
202104,20422,154351,31110
202105,20427,154183,31202
202106,20390,153926,31261
202107,20355,153874,31322
202108,20332,153781,31550
202109,20311,153821,31738
202110,20271,153709,31885
202111,20317,153567,31995
202112,20333,153547,32110
202201,20329,153350,32230
202202,20298,153145,32376
202203,20279,152863,32438
202204,20162,152264,32466
202205,20098,151975,32546
202206,19991,151813,32577
202207,20002,152006,32663
202208,20016,152137,32808
