ym,0-14,15-64,65
201404,2807,17508,3141
201405,2803,17503,3154
201406,2796,17532,3162
201407,2791,17508,3173
201408,2793,17515,3184
201409,2772,17480,3192
201410,2761,17496,3206
201411,2738,17517,3217
201412,2715,17545,3220
201501,2699,17557,3234
201502,2684,17580,3244
201503,2658,17562,3252
201504,2656,17540,3279
201505,2641,17549,3289
201506,2628,17547,3294
201507,2606,17528,3295
201508,2598,17541,3315
201509,2584,17544,3338
201510,2574,17563,3361
201511,2559,17564,3374
201512,2542,17552,3393
201601,2533,17520,3399
201602,2510,17520,3416
201603,2488,17499,3433
201604,2472,17473,3450
201605,2451,17451,3465
201606,2435,17453,3481
201607,2429,17470,3484
201608,2409,17435,3506
201609,2410,17424,3522
201610,2397,17408,3534
201611,2401,17400,3565
201612,2396,17387,3586
201701,2385,17360,3604
201702,2375,17339,3621
201703,2361,17309,3639
201704,2345,17292,3651
201705,2354,17303,3673
201706,2327,17277,3694
201707,2299,17296,3693
201708,2272,17267,3701
201709,2268,17272,3713
201710,2256,17253,3726
201711,2240,17224,3745
201712,2234,17202,3764
201801,2218,17202,3766
201802,2208,17178,3775
201803,2209,17126,3795
201804,2193,17091,3818
201805,2187,17073,3834
201806,2181,17065,3838
201807,2175,17050,3847
201808,2168,17040,3852
201809,2160,17009,3868
201810,2151,16970,3889
201811,2140,16973,3899
201812,2114,16954,3910
201901,2108,16911,3922
201902,2084,16862,3943
201903,2078,16834,3962
201904,2068,16828,3968
201905,2063,16792,3975
201906,2072,16785,3980
201907,2073,16769,3982
201908,2063,16732,4010
201909,2049,16714,4023
201910,2036,16691,4041
201911,2008,16682,4070
201912,2008,16665,4095
202001,1992,16621,4108
202002,1992,16600,4144
202003,2003,16538,4169
202004,2009,16518,4185
202005,2006,16481,4198
202006,2012,16469,4212
202007,2004,16430,4217
202008,1998,16373,4245
202009,1984,16323,4272
202010,1977,16285,4295
202011,1965,16254,4308
202012,1964,16246,4330
202101,1965,16213,4351
202102,1958,16183,4371
202103,1955,16158,4386
202104,1946,16140,4412
202105,1946,16110,4431
202106,1934,16097,4438
202107,1924,16085,4451
202108,1922,16048,4475
202109,1905,16018,4485
202110,1901,16014,4492
202111,1897,15987,4494
202112,1887,15948,4522
202201,1875,15906,4530
202202,1856,15850,4548
202203,1843,15819,4562
202204,1830,15742,4573
202205,1841,15728,4591
202206,1835,15723,4600
202207,1834,15714,4611
202208,1844,15722,4624
