ym,0-14,15-64,65
201404,826,6368,1814
201405,830,6400,1808
201406,823,6396,1805
201407,819,6410,1805
201408,828,6414,1809
201409,826,6410,1814
201410,818,6406,1824
201411,816,6393,1822
201412,804,6382,1814
201501,801,6359,1821
201502,790,6358,1818
201503,786,6343,1815
201504,781,6318,1814
201505,783,6315,1817
201506,781,6295,1811
201507,774,6278,1809
201508,779,6286,1820
201509,774,6278,1819
201510,771,6273,1819
201511,773,6267,1821
201512,773,6251,1823
201601,764,6239,1825
201602,767,6216,1829
201603,763,6213,1840
201604,762,6207,1838
201605,763,6197,1839
201606,751,6189,1833
201607,757,6177,1840
201608,754,6165,1837
201609,751,6144,1839
201610,743,6127,1839
201611,738,6108,1849
201612,737,6093,1856
201701,727,6080,1864
201702,728,6079,1864
201703,715,6065,1865
201704,709,6032,1863
201705,709,6021,1861
201706,706,6021,1864
201707,714,6010,1859
201708,707,5998,1866
201709,689,5980,1860
201710,686,5975,1865
201711,685,5977,1866
201712,683,5969,1865
201801,680,5956,1861
201802,679,5954,1868
201803,679,5939,1874
201804,689,5944,1878
201805,689,5948,1881
201806,689,5954,1886
201807,689,5949,1883
201808,686,5947,1883
201809,683,5937,1895
201810,679,5938,1901
201811,672,5925,1906
201812,667,5907,1905
201901,664,5885,1900
201902,664,5872,1901
201903,646,5862,1905
201904,651,5866,1910
201905,658,5855,1911
201906,646,5854,1914
201907,638,5846,1910
201908,637,5825,1918
201909,639,5817,1929
201910,637,5794,1932
201911,636,5794,1940
201912,631,5769,1949
202001,627,5754,1957
202002,631,5741,1954
202003,630,5727,1953
202004,632,5724,1953
202005,629,5708,1958
202006,632,5701,1954
202007,625,5688,1951
202008,625,5684,1948
202009,617,5672,1953
202010,612,5660,1963
202011,607,5647,1975
202012,595,5631,1977
202101,589,5630,1976
202102,593,5614,1981
202103,588,5595,1983
202104,582,5578,1995
202105,580,5577,1992
202106,573,5578,1987
202107,578,5555,1990
202108,581,5555,1993
202109,585,5539,2000
202110,581,5537,2001
202111,577,5535,2006
202112,576,5518,2012
202201,571,5528,2018
202202,562,5512,2016
202203,557,5505,2022
202204,551,5521,2024
202205,557,5523,2019
202206,548,5516,2020
202207,548,5534,2026
202208,560,5522,2032
