ym,0-14,15-64,65
201404,608,2680,302
201405,614,2709,300
201406,614,2732,302
201407,609,2739,302
201408,609,2752,302
201409,604,2749,304
201410,610,2753,303
201411,610,2764,302
201412,610,2759,300
201501,614,2752,299
201502,614,2746,301
201503,608,2740,302
201504,600,2732,302
201505,599,2734,301
201506,605,2729,297
201507,601,2718,298
201508,601,2713,297
201509,601,2718,294
201510,595,2710,293
201511,591,2699,297
201512,589,2699,298
201601,584,2699,297
201602,580,2699,300
201603,580,2696,301
201604,577,2704,301
201605,584,2699,303
201606,581,2698,300
201607,583,2702,303
201608,580,2702,304
201609,578,2712,306
201610,581,2711,312
201611,588,2710,312
201612,586,2704,322
201701,585,2710,322
201702,587,2709,323
201703,592,2716,321
201704,590,2725,324
201705,586,2727,331
201706,578,2728,333
201707,578,2730,333
201708,573,2733,333
201709,574,2737,333
201710,570,2737,336
201711,575,2744,336
201712,570,2748,335
201801,568,2758,337
201802,571,2767,338
201803,573,2787,335
201804,571,2801,341
201805,559,2823,341
201806,560,2829,344
201807,555,2848,343
201808,554,2841,344
201809,554,2840,344
201810,563,2839,346
201811,561,2826,352
201812,556,2829,354
201901,555,2817,354
201902,552,2812,355
201903,553,2815,354
201904,552,2815,358
201905,553,2811,360
201906,559,2805,362
201907,557,2801,360
201908,554,2796,364
201909,549,2797,364
201910,554,2802,363
201911,554,2795,362
201912,557,2785,361
202001,553,2780,364
202002,557,2774,366
202003,557,2776,368
202004,558,2780,367
202005,557,2780,365
202006,559,2780,367
202007,564,2769,372
202008,553,2768,368
202009,551,2767,371
202010,546,2779,371
202011,544,2783,373
202012,550,2773,376
202101,551,2769,377
202102,548,2764,378
202103,544,2759,376
202104,540,2755,380
202105,538,2749,380
202106,541,2738,384
202107,540,2742,391
202108,537,2746,395
202109,528,2738,398
202110,528,2726,405
202111,526,2719,411
202112,529,2722,412
202201,533,2724,414
202202,534,2742,412
202203,541,2751,415
202204,541,2760,416
202205,536,2765,414
202206,533,2771,414
202207,529,2781,417
202208,540,2777,419
