ym,0-14,15-64,65
201404,829,4900,789
201405,819,4958,797
201406,821,4990,805
201407,820,5021,808
201408,817,5018,812
201409,811,5001,811
201410,813,4990,812
201411,809,4987,812
201412,799,4953,813
201501,790,4922,817
201502,792,4905,818
201503,772,4887,815
201504,770,4889,816
201505,765,4869,818
201506,754,4851,818
201507,749,4832,814
201508,749,4816,815
201509,748,4784,826
201510,741,4777,830
201511,738,4766,830
201512,741,4753,830
201601,735,4733,829
201602,734,4715,839
201603,729,4693,841
201604,728,4674,847
201605,724,4675,844
201606,722,4662,848
201607,717,4650,854
201608,725,4644,854
201609,712,4656,857
201610,718,4666,855
201611,715,4677,860
201612,712,4666,860
201701,704,4651,866
201702,693,4633,867
201703,684,4619,867
201704,672,4614,868
201705,668,4605,873
201706,664,4593,874
201707,655,4584,873
201708,664,4589,876
201709,664,4580,880
201710,668,4575,879
201711,664,4569,884
201712,663,4570,884
201801,660,4561,890
201802,657,4547,889
201803,655,4541,891
201804,652,4549,898
201805,658,4561,904
201806,656,4556,906
201807,658,4569,909
201808,658,4559,909
201809,654,4545,909
201810,656,4530,914
201811,648,4519,915
201812,645,4487,914
201901,645,4460,915
201902,633,4430,918
201903,631,4414,917
201904,624,4406,916
201905,620,4397,911
201906,622,4375,912
201907,617,4362,910
201908,620,4355,909
201909,617,4349,907
201910,621,4344,910
201911,617,4338,916
201912,613,4320,918
202001,610,4293,925
202002,603,4268,926
202003,599,4253,927
202004,597,4241,928
202005,592,4235,931
202006,588,4234,935
202007,593,4227,939
202008,597,4211,947
202009,591,4208,951
202010,592,4212,957
202011,587,4203,958
202012,584,4183,960
202101,585,4166,961
202102,575,4162,966
202103,569,4152,970
202104,568,4138,973
202105,569,4138,969
202106,561,4138,970
202107,560,4129,974
202108,565,4099,986
202109,567,4084,997
202110,565,4100,993
202111,569,4086,993
202112,559,4074,1002
202201,558,4066,1002
202202,554,4064,1010
202203,555,4067,1010
202204,554,4059,1016
202205,559,4062,1015
202206,568,4079,1018
202207,568,4078,1031
202208,562,4060,1030
