ym,0-14,15-64,65
201404,3012,20091,3998
201405,3001,20086,3988
201406,2982,20087,3983
201407,2979,20052,3984
201408,2947,20030,3990
201409,2945,20004,4002
201410,2931,20021,3996
201411,2925,20011,4002
201412,2916,20012,4021
201501,2907,19967,4039
201502,2881,19966,4036
201503,2869,19907,4047
201504,2855,19882,4063
201505,2841,19869,4067
201506,2828,19837,4068
201507,2824,19855,4070
201508,2811,19837,4081
201509,2812,19815,4086
201510,2802,19807,4100
201511,2790,19778,4120
201512,2782,19739,4131
201601,2773,19703,4145
201602,2756,19676,4161
201603,2759,19645,4163
201604,2760,19609,4169
201605,2759,19597,4181
201606,2745,19594,4188
201607,2738,19602,4190
201608,2720,19556,4198
201609,2713,19508,4236
201610,2707,19475,4253
201611,2694,19451,4266
201612,2679,19423,4275
201701,2669,19377,4294
201702,2645,19337,4294
201703,2634,19327,4305
201704,2637,19300,4322
201705,2627,19279,4337
201706,2620,19261,4344
201707,2598,19229,4343
201708,2591,19213,4349
201709,2585,19166,4361
201710,2579,19158,4373
201711,2579,19146,4381
201712,2563,19118,4397
201801,2526,19068,4401
201802,2507,19047,4411
201803,2496,19016,4424
201804,2497,19006,4417
201805,2477,18964,4431
201806,2469,18930,4429
201807,2450,18910,4441
201808,2438,18855,4465
201809,2448,18807,4488
201810,2441,18795,4489
201811,2430,18767,4507
201812,2401,18752,4512
201901,2391,18727,4540
201902,2394,18714,4567
201903,2393,18707,4576
201904,2386,18684,4576
201905,2380,18675,4578
201906,2377,18652,4585
201907,2366,18639,4588
201908,2349,18611,4608
201909,2344,18568,4612
201910,2341,18551,4619
201911,2343,18500,4656
201912,2351,18471,4679
202001,2338,18450,4686
202002,2298,18432,4718
202003,2297,18428,4726
202004,2305,18412,4746
202005,2313,18411,4754
202006,2309,18381,4776
202007,2298,18351,4780
202008,2292,18326,4799
202009,2279,18306,4803
202010,2281,18269,4823
202011,2270,18226,4841
202012,2243,18207,4843
202101,2222,18178,4861
202102,2222,18134,4875
202103,2229,18094,4885
202104,2234,18077,4891
202105,2228,18060,4900
202106,2228,18022,4904
202107,2222,17988,4911
202108,2219,17931,4934
202109,2222,17867,4973
202110,2210,17844,4971
202111,2220,17830,4974
202112,2199,17803,4979
202201,2178,17775,5006
202202,2164,17729,5028
202203,2158,17724,5031
202204,2150,17685,5034
202205,2149,17667,5041
202206,2162,17619,5043
202207,2139,17582,5062
202208,2146,17560,5073
