ym,0-14,15-64,65
201404,8759,55849,8061
201405,8732,55840,8068
201406,8709,55934,8071
201407,8695,55954,8090
201408,8710,56025,8129
201409,8718,56074,8164
201410,8737,56093,8176
201411,8740,56117,8215
201412,8761,56096,8242
201501,8742,56154,8283
201502,8717,56176,8322
201503,8694,56133,8368
201504,8672,56167,8403
201505,8696,56196,8408
201506,8711,56230,8433
201507,8742,56316,8451
201508,8709,56344,8504
201509,8724,56399,8545
201510,8744,56389,8607
201511,8759,56379,8679
201512,8760,56403,8724
201601,8763,56391,8797
201602,8765,56363,8846
201603,8775,56371,8892
201604,8783,56422,8921
201605,8791,56520,8958
201606,8812,56527,9009
201607,8810,56584,9064
201608,8809,56619,9102
201609,8798,56658,9133
201610,8807,56608,9196
201611,8826,56546,9257
201612,8840,56500,9297
201701,8835,56483,9374
201702,8853,56515,9425
201703,8895,56592,9464
201704,8897,56586,9516
201705,8926,56589,9582
201706,8907,56641,9619
201707,8901,56690,9633
201708,8934,56727,9683
201709,8952,56711,9747
201710,8966,56707,9804
201711,8985,56671,9856
201712,8986,56645,9887
201801,8983,56569,9933
201802,8995,56552,9977
201803,8961,56513,10016
201804,8985,56497,10063
201805,8996,56456,10087
201806,8989,56402,10129
201807,8988,56432,10195
201808,9009,56448,10246
201809,9022,56439,10312
201810,9014,56423,10360
201811,9020,56395,10434
201812,9012,56376,10490
201901,9022,56361,10542
201902,9015,56283,10613
201903,8987,56255,10654
201904,8970,56269,10681
201905,9002,56242,10719
201906,8983,56232,10770
201907,8980,56210,10823
201908,8973,56188,10897
201909,8988,56100,10953
201910,8973,56025,11032
201911,8991,55976,11099
201912,9003,55932,11159
202001,8986,55885,11217
202002,8985,55826,11264
202003,8987,55825,11318
202004,8988,55824,11382
202005,8988,55840,11433
202006,8988,55805,11484
202007,8966,55835,11511
202008,8969,55832,11572
202009,8971,55793,11618
202010,8940,55738,11697
202011,8936,55690,11771
202012,8927,55647,11811
202101,8873,55578,11870
202102,8822,55500,11919
202103,8797,55409,11995
202104,8735,55352,12040
202105,8717,55288,12067
202106,8709,55268,12108
202107,8695,55389,12145
202108,8691,55431,12202
202109,8712,55561,12264
202110,8691,55541,12302
202111,8663,55498,12361
202112,8643,55450,12404
202201,8640,55393,12457
202202,8651,55344,12537
202203,8625,55294,12562
202204,8609,55181,12577
202205,8577,55172,12621
202206,8581,55183,12645
202207,8605,55215,12663
202208,8605,55276,12718
