ym,0-14,15-64,65
201404,6855,32385,6185
201405,6857,32395,6205
201406,6846,32450,6214
201407,6878,32527,6223
201408,6913,32605,6251
201409,6904,32710,6279
201410,6915,32738,6289
201411,6921,32762,6315
201412,6938,32843,6319
201501,6943,32882,6356
201502,6953,32907,6370
201503,6991,32963,6396
201504,6996,33005,6430
201505,6994,33086,6432
201506,6992,33148,6437
201507,6995,33185,6448
201508,7009,33274,6453
201509,7024,33316,6475
201510,7015,33343,6503
201511,7021,33339,6545
201512,7017,33371,6545
201601,7003,33347,6581
201602,7017,33354,6601
201603,7040,33434,6615
201604,7054,33464,6632
201605,7068,33498,6653
201606,7082,33551,6681
201607,7066,33593,6687
201608,7110,33596,6717
201609,7120,33617,6739
201610,7128,33665,6755
201611,7125,33684,6776
201612,7160,33713,6787
201701,7163,33697,6827
201702,7181,33729,6849
201703,7204,33762,6870
201704,7200,33773,6880
201705,7224,33776,6896
201706,7227,33794,6905
201707,7252,33877,6915
201708,7285,33928,6934
201709,7303,33991,6945
201710,7314,34000,6970
201711,7299,34019,7004
201712,7329,34029,7028
201801,7353,34022,7032
201802,7363,34047,7042
201803,7403,34065,7068
201804,7425,34109,7064
201805,7444,34101,7072
201806,7454,34121,7081
201807,7457,34131,7114
201808,7488,34201,7137
201809,7458,34251,7148
201810,7451,34259,7160
201811,7474,34257,7188
201812,7486,34278,7204
201901,7517,34286,7237
201902,7551,34334,7258
201903,7597,34386,7289
201904,7611,34437,7313
201905,7646,34516,7329
201906,7685,34551,7334
201907,7680,34637,7338
201908,7690,34682,7359
201909,7707,34787,7378
201910,7720,34807,7406
201911,7740,34809,7439
201912,7731,34830,7457
202001,7742,34814,7483
202002,7764,34830,7516
202003,7773,34832,7534
202004,7775,34865,7560
202005,7790,34923,7575
202006,7802,34965,7592
202007,7815,35015,7617
202008,7832,35042,7641
202009,7874,35095,7651
202010,7881,35108,7674
202011,7885,35103,7697
202012,7928,35174,7712
202101,7930,35161,7748
202102,7939,35172,7781
202103,7945,35163,7796
202104,7951,35187,7823
202105,7972,35189,7829
202106,7958,35222,7842
202107,7965,35228,7859
202108,7993,35205,7891
202109,8004,35220,7901
202110,8002,35243,7912
202111,8021,35248,7930
202112,8034,35284,7947
202201,8080,35298,7969
202202,8066,35278,8001
202203,8066,35249,8001
202204,8114,35313,8018
202205,8130,35364,8032
202206,8146,35365,8032
202207,8138,35372,8053
202208,8157,35420,8072
