ym,0-14,15-64,65
201404,4331,23877,3603
201405,4297,23857,3610
201406,4298,23856,3602
201407,4291,23867,3606
201408,4258,23868,3622
201409,4271,23856,3631
201410,4281,23854,3652
201411,4271,23863,3666
201412,4269,23859,3672
201501,4266,23842,3688
201502,4266,23839,3703
201503,4216,23814,3719
201504,4204,23793,3735
201505,4205,23779,3748
201506,4192,23808,3746
201507,4215,23824,3744
201508,4209,23813,3765
201509,4205,23837,3776
201510,4198,23865,3791
201511,4202,23858,3812
201512,4192,23885,3822
201601,4155,23853,3860
201602,4133,23839,3866
201603,4112,23855,3871
201604,4100,23873,3881
201605,4108,23867,3903
201606,4100,23887,3904
201607,4091,23911,3908
201608,4114,23971,3921
201609,4108,23967,3932
201610,4109,23960,3949
201611,4107,23948,3978
201612,4109,23935,3990
201701,4093,23918,3998
201702,4051,23916,4006
201703,4049,23921,4016
201704,4049,23916,4028
201705,4035,23921,4039
201706,4031,23915,4055
201707,4025,23921,4066
201708,4056,23940,4081
201709,4053,23966,4104
201710,4044,23939,4136
201711,4036,23965,4156
201712,4046,23956,4183
201801,4030,23920,4201
201802,4014,23916,4220
201803,4004,23917,4231
201804,4000,23906,4234
201805,3991,23910,4242
201806,3989,23904,4260
201807,3984,23903,4279
201808,4003,23889,4297
201809,4021,23873,4303
201810,4016,23866,4320
201811,4021,23869,4328
201812,4012,23869,4349
201901,4000,23890,4366
201902,3988,23868,4400
201903,3983,23866,4407
201904,3966,23855,4438
201905,3958,23848,4447
201906,3933,23812,4464
201907,3924,23821,4466
201908,3926,23799,4495
201909,3952,23795,4514
201910,3936,23760,4545
201911,3924,23745,4563
201912,3902,23727,4595
202001,3865,23699,4616
202002,3834,23673,4634
202003,3822,23640,4646
202004,3808,23618,4655
202005,3802,23586,4678
202006,3801,23579,4693
202007,3806,23540,4701
202008,3818,23522,4708
202009,3792,23492,4729
202010,3770,23473,4746
202011,3754,23442,4772
202012,3735,23405,4800
202101,3715,23384,4813
202102,3700,23365,4835
202103,3694,23308,4853
202104,3681,23269,4874
202105,3664,23239,4887
202106,3656,23245,4886
202107,3660,23239,4891
202108,3633,23222,4910
202109,3592,23139,4937
202110,3572,23095,4959
202111,3569,23031,4980
202112,3563,22986,5015
202201,3550,22980,5032
202202,3545,22917,5049
202203,3530,22843,5048
202204,3509,22807,5059
202205,3490,22771,5075
202206,3497,22744,5082
202207,3466,22743,5083
202208,3475,22695,5102
