ym,0-14,15-64,65
201404,2382,14337,2925
201405,2394,14343,2927
201406,2370,14339,2927
201407,2362,14373,2921
201408,2352,14371,2922
201409,2356,14362,2922
201410,2360,14368,2933
201411,2356,14372,2945
201412,2353,14361,2940
201501,2328,14357,2946
201502,2319,14355,2959
201503,2285,14350,2963
201504,2290,14359,2963
201505,2275,14352,2961
201506,2262,14347,2963
201507,2259,14363,2959
201508,2245,14371,2967
201509,2246,14350,2982
201510,2242,14343,2986
201511,2240,14347,2985
201512,2231,14324,2987
201601,2214,14321,2998
201602,2211,14315,3004
201603,2174,14308,2997
201604,2168,14301,3000
201605,2162,14310,3011
201606,2153,14316,3027
201607,2150,14297,3032
201608,2151,14285,3039
201609,2153,14276,3047
201610,2155,14245,3060
201611,2144,14234,3067
201612,2137,14200,3072
201701,2137,14173,3090
201702,2121,14171,3096
201703,2119,14164,3104
201704,2118,14160,3110
201705,2113,14149,3107
201706,2110,14149,3108
201707,2112,14148,3103
201708,2098,14138,3099
201709,2101,14119,3105
201710,2094,14110,3115
201711,2095,14101,3129
201712,2082,14084,3137
201801,2073,14061,3148
201802,2078,14038,3154
201803,2079,14007,3166
201804,2079,14010,3172
201805,2091,13995,3179
201806,2101,14004,3170
201807,2099,14011,3166
201808,2109,14000,3175
201809,2110,13981,3178
201810,2111,13952,3187
201811,2125,13942,3196
201812,2123,13935,3209
201901,2115,13905,3219
201902,2116,13889,3228
201903,2103,13876,3236
201904,2100,13868,3234
201905,2095,13862,3234
201906,2089,13857,3228
201907,2071,13841,3229
201908,2064,13831,3233
201909,2051,13821,3238
201910,2045,13818,3247
201911,2040,13818,3255
201912,2034,13805,3272
202001,2018,13786,3282
202002,2011,13791,3287
202003,2006,13779,3287
202004,1991,13753,3294
202005,1977,13733,3295
202006,1978,13713,3305
202007,1968,13715,3306
202008,1961,13691,3309
202009,1966,13681,3318
202010,1941,13667,3317
202011,1923,13657,3311
202012,1912,13641,3311
202101,1879,13629,3321
202102,1867,13607,3317
202103,1860,13592,3323
202104,1855,13569,3329
202105,1853,13558,3329
202106,1855,13535,3331
202107,1843,13502,3343
202108,1830,13469,3349
202109,1840,13415,3371
202110,1806,13393,3363
202111,1793,13367,3365
202112,1781,13331,3373
202201,1767,13314,3378
202202,1765,13302,3390
202203,1759,13266,3393
202204,1744,13236,3390
202205,1736,13169,3397
202206,1732,13132,3396
202207,1736,13142,3392
202208,1721,13128,3399
