ym,0-14,15-64,65
201404,10863,53154,6881
201405,10848,53180,6897
201406,10827,53220,6906
201407,10826,53284,6910
201408,10806,53347,6931
201409,10816,53428,6953
201410,10827,53514,6999
201411,10818,53551,7026
201412,10828,53629,7063
201501,10822,53630,7098
201502,10828,53664,7131
201503,10829,53675,7190
201504,10836,53728,7224
201505,10844,53794,7249
201506,10873,53884,7261
201507,10875,53994,7272
201508,10861,54024,7318
201509,10840,54036,7365
201510,10833,54099,7420
201511,10830,54160,7475
201512,10837,54181,7496
201601,10818,54208,7564
201602,10834,54239,7612
201603,10855,54285,7652
201604,10836,54350,7677
201605,10835,54439,7707
201606,10841,54476,7749
201607,10822,54539,7768
201608,10818,54573,7803
201609,10802,54570,7863
201610,10798,54623,7926
201611,10848,54677,7975
201612,10893,54721,8033
201701,10904,54788,8079
201702,10919,54834,8120
201703,10926,54880,8148
201704,10910,54871,8176
201705,10876,54905,8209
201706,10917,54960,8232
201707,10906,54993,8265
201708,10919,55084,8295
201709,10903,55091,8330
201710,10887,55146,8376
201711,10897,55159,8427
201712,10893,55170,8491
201801,10891,55170,8549
201802,10902,55213,8590
201803,10897,55224,8635
201804,10901,55271,8671
201805,10896,55309,8702
201806,10909,55342,8726
201807,10962,55330,8774
201808,10977,55369,8819
201809,10981,55367,8853
201810,10968,55401,8906
201811,10960,55357,8955
201812,10954,55407,9011
201901,10977,55447,9071
201902,10982,55451,9115
201903,10968,55469,9175
201904,10897,55412,9214
201905,10886,55388,9228
201906,10860,55368,9242
201907,10845,55302,9273
201908,10836,55256,9313
201909,10853,55293,9354
201910,10844,55274,9407
201911,10814,55277,9482
201912,10782,55283,9545
202001,10784,55262,9589
202002,10798,55254,9640
202003,10778,55243,9668
202004,10772,55243,9733
202005,10743,55255,9767
202006,10732,55255,9803
202007,10776,55287,9840
202008,10758,55259,9876
202009,10774,55443,9940
202010,10767,55492,9990
202011,10777,55510,10065
202012,10783,55584,10127
202101,10757,55639,10202
202102,10742,55654,10245
202103,10779,55682,10311
202104,10762,55722,10372
202105,10755,55695,10396
202106,10753,55685,10415
202107,10748,55729,10430
202108,10708,55687,10503
202109,10737,55677,10558
202110,10698,55703,10616
202111,10700,55755,10674
202112,10689,55839,10717
202201,10723,55887,10760
202202,10742,55849,10816
202203,10722,55757,10865
202204,10708,55750,10901
202205,10709,55740,10935
202206,10693,55726,10952
202207,10698,55764,10966
202208,10675,55785,11008
