ym,0-14,15-64,65
201404,37040,162576,16734
201405,37007,162866,16760
201406,36942,163048,16804
201407,36923,163282,16861
201408,36866,163529,16960
201409,36856,163750,17067
201410,36730,163902,17188
201411,36675,164042,17292
201412,36780,164371,17389
201501,36735,164524,17529
201502,36687,164732,17630
201503,36703,164916,17743
201504,36701,165051,17849
201505,36664,165336,17904
201506,36713,165581,17976
201507,36730,165863,18042
201508,36784,166191,18138
201509,36657,166348,18249
201510,36552,166595,18361
201511,36473,166692,18467
201512,36366,166841,18578
201601,36297,166925,18720
201602,36282,166940,18877
201603,36257,167065,18984
201604,36225,167200,19091
201605,36220,167367,19196
201606,36173,167477,19296
201607,36172,167567,19434
201608,36109,167660,19554
201609,36104,167854,19678
201610,36090,168031,19812
201611,36124,168242,19947
201612,36121,168376,20104
201701,36138,168408,20285
201702,36162,168483,20392
201703,36261,168574,20489
201704,36264,168637,20624
201705,36255,168732,20686
201706,36300,168782,20745
201707,36268,168877,20859
201708,36301,168859,20983
201709,36293,168901,21127
201710,36255,168969,21308
201711,36281,169067,21488
201712,36330,169098,21615
201801,36304,169077,21766
201802,36328,169088,21875
201803,36410,169142,22017
201804,36434,169142,22131
201805,36530,169106,22215
201806,36434,169040,22282
201807,36431,169039,22410
201808,36389,169058,22525
201809,36304,169012,22666
201810,36264,169044,22820
201811,36277,169051,23004
201812,36293,169142,23195
201901,36367,169266,23372
201902,36315,169234,23534
201903,36267,169285,23691
201904,36295,169263,23823
201905,36260,169211,23958
201906,36182,169261,24056
201907,36173,169380,24127
201908,36192,169405,24243
201909,36142,169456,24408
201910,36137,169462,24619
201911,36116,169438,24841
201912,36109,169398,24994
202001,36091,169352,25168
202002,36106,169246,25360
202003,36064,169161,25518
202004,36014,169105,25648
202005,35938,169051,25749
202006,35904,169033,25848
202007,35836,169035,25997
202008,35832,168929,26165
202009,35714,168849,26341
202010,35592,168845,26541
202011,35620,168851,26702
202012,35720,169139,26871
202101,35613,169063,27051
202102,35579,169017,27206
202103,35546,168894,27333
202104,35474,168749,27477
202105,35404,168655,27550
202106,35377,168553,27637
202107,35300,168402,27713
202108,35203,168140,27901
202109,35138,167969,28082
202110,35026,167814,28180
202111,34984,167681,28292
202112,34978,167520,28390
202201,34957,167324,28536
202202,34936,167094,28729
202203,34968,166782,28810
202204,34811,166069,28840
202205,34630,165871,28968
202206,34617,165927,29079
202207,34605,166003,29184
202208,34563,166178,29365
