ym,0-14,15-64,65
201404,1959,6661,689
201405,1956,6693,692
201406,1941,6710,693
201407,1938,6763,694
201408,1944,6772,701
201409,1975,6778,706
201410,1985,6789,707
201411,1996,6793,708
201412,2012,6784,710
201501,2009,6781,708
201502,1980,6771,706
201503,1953,6755,709
201504,1912,6745,712
201505,1898,6733,715
201506,1892,6729,710
201507,1899,6714,704
201508,1886,6719,703
201509,1913,6716,706
201510,1932,6726,703
201511,1926,6740,703
201512,1944,6759,714
201601,1935,6759,714
201602,1885,6749,718
201603,1871,6734,720
201604,1859,6725,727
201605,1847,6719,731
201606,1846,6718,736
201607,1845,6731,736
201608,1852,6739,741
201609,1881,6747,739
201610,1900,6749,743
201611,1903,6750,743
201612,1908,6762,742
201701,1907,6769,744
201702,1887,6776,741
201703,1887,6792,749
201704,1883,6795,752
201705,1880,6777,755
201706,1870,6778,754
201707,1864,6775,756
201708,1873,6785,757
201709,1900,6793,763
201710,1926,6799,771
201711,1941,6825,768
201712,1927,6840,776
201801,1914,6848,779
201802,1899,6862,779
201803,1869,6894,786
201804,1859,6948,791
201805,1856,6956,795
201806,1856,6974,808
201807,1845,6994,809
201808,1852,6987,807
201809,1867,6997,803
201810,1876,7002,805
201811,1877,7002,805
201812,1884,6996,815
201901,1870,6990,818
201902,1853,6984,826
201903,1862,6985,830
201904,1849,6962,832
201905,1840,6936,835
201906,1829,6933,835
201907,1823,6922,838
201908,1807,6919,846
201909,1829,6942,845
201910,1839,6939,840
201911,1842,6948,843
201912,1844,6939,855
202001,1842,6928,867
202002,1837,6908,872
202003,1810,6900,871
202004,1801,6888,876
202005,1809,6896,877
202006,1804,6898,881
202007,1806,6912,878
202008,1800,6886,879
202009,1807,6890,883
202010,1804,6910,885
202011,1812,6919,896
202012,1814,6926,906
202101,1808,6915,914
202102,1797,6900,913
202103,1778,6902,919
202104,1767,6882,925
202105,1763,6875,927
202106,1760,6875,930
202107,1758,6875,928
202108,1749,6869,934
202109,1761,6849,947
202110,1769,6846,940
202111,1789,6849,946
202112,1788,6838,951
202201,1770,6840,961
202202,1761,6831,969
202203,1753,6834,971
202204,1744,6823,970
202205,1750,6823,965
202206,1745,6816,972
202207,1734,6832,973
202208,1728,6835,977
