ym,0-14,15-64,65
201404,509,3836,1410
201405,502,3857,1406
201406,504,3860,1402
201407,509,3883,1402
201408,507,3883,1400
201409,511,3877,1404
201410,501,3867,1410
201411,498,3866,1409
201412,491,3847,1406
201501,490,3834,1410
201502,478,3821,1417
201503,472,3804,1413
201504,472,3802,1412
201505,468,3799,1414
201506,462,3809,1410
201507,459,3811,1405
201508,453,3799,1410
201509,451,3793,1404
201510,448,3787,1406
201511,452,3773,1412
201512,455,3770,1417
201601,452,3769,1414
201602,450,3769,1420
201603,447,3765,1420
201604,444,3767,1419
201605,436,3760,1424
201606,437,3755,1426
201607,437,3748,1426
201608,433,3742,1427
201609,431,3732,1429
201610,433,3732,1428
201611,430,3732,1428
201612,435,3727,1431
201701,433,3721,1437
201702,425,3714,1437
201703,420,3720,1429
201704,415,3722,1426
201705,417,3722,1425
201706,424,3719,1427
201707,418,3711,1430
201708,417,3708,1426
201709,414,3707,1427
201710,415,3699,1428
201711,417,3694,1424
201712,419,3691,1428
201801,419,3683,1425
201802,413,3688,1429
201803,413,3696,1429
201804,412,3714,1430
201805,417,3730,1434
201806,420,3757,1431
201807,425,3790,1430
201808,423,3781,1432
201809,431,3776,1438
201810,429,3767,1442
201811,423,3744,1442
201812,422,3729,1436
201901,422,3721,1438
201902,414,3713,1440
201903,405,3701,1446
201904,404,3696,1447
201905,401,3682,1451
201906,401,3675,1453
201907,401,3664,1449
201908,397,3660,1453
201909,400,3656,1449
201910,401,3641,1449
201911,398,3630,1449
201912,395,3635,1449
202001,388,3623,1456
202002,384,3624,1456
202003,386,3627,1454
202004,387,3621,1452
202005,387,3612,1453
202006,391,3614,1453
202007,388,3604,1449
202008,387,3600,1448
202009,383,3594,1444
202010,379,3589,1447
202011,372,3581,1453
202012,373,3581,1449
202101,364,3571,1453
202102,358,3565,1456
202103,370,3555,1461
202104,362,3546,1455
202105,364,3529,1455
202106,360,3522,1461
202107,352,3506,1465
202108,355,3500,1465
202109,352,3478,1469
202110,354,3477,1469
202111,359,3473,1480
202112,355,3469,1485
202201,360,3468,1491
202202,357,3462,1496
202203,355,3458,1495
202204,357,3468,1493
202205,357,3466,1501
202206,353,3463,1503
202207,352,3466,1507
202208,352,3465,1509
