ym,0-14,15-64,65
201404,4009,21165,5671
201405,4002,21181,5654
201406,3992,21182,5650
201407,3978,21184,5652
201408,3971,21183,5661
201409,3963,21164,5663
201410,3941,21184,5667
201411,3938,21170,5691
201412,3917,21125,5709
201501,3861,21078,5718
201502,3834,21013,5726
201503,3814,20929,5733
201504,3755,20891,5736
201505,3727,20856,5726
201506,3701,20826,5717
201507,3664,20805,5709
201508,3626,20765,5729
201509,3589,20734,5735
201510,3581,20724,5731
201511,3533,20736,5733
201512,3489,20720,5727
201601,3453,20680,5733
201602,3438,20655,5748
201603,3424,20598,5753
201604,3389,20574,5760
201605,3363,20537,5763
201606,3323,20537,5776
201607,3303,20534,5772
201608,3302,20516,5759
201609,3281,20478,5768
201610,3270,20456,5778
201611,3261,20398,5802
201612,3252,20351,5805
201701,3235,20313,5832
201702,3219,20285,5839
201703,3193,20241,5837
201704,3172,20212,5849
201705,3151,20187,5846
201706,3141,20181,5838
201707,3139,20164,5830
201708,3134,20130,5830
201709,3117,20080,5830
201710,3083,20082,5818
201711,3053,20055,5825
201712,3046,20031,5819
201801,3032,19992,5823
201802,3006,20002,5819
201803,2994,19997,5838
201804,2984,20006,5842
201805,2974,20005,5837
201806,2972,19985,5831
201807,2963,19976,5845
201808,2936,19950,5855
201809,2905,19914,5868
201810,2894,19890,5875
201811,2880,19875,5877
201812,2846,19817,5874
201901,2827,19747,5867
201902,2809,19698,5874
201903,2797,19654,5881
201904,2777,19619,5876
201905,2761,19583,5888
201906,2766,19575,5886
201907,2737,19542,5882
201908,2731,19524,5881
201909,2723,19494,5886
201910,2721,19481,5893
201911,2707,19460,5899
201912,2717,19439,5899
202001,2722,19425,5887
202002,2726,19380,5909
202003,2723,19334,5922
202004,2715,19346,5932
202005,2701,19288,5941
202006,2709,19266,5943
202007,2695,19253,5952
202008,2688,19217,5958
202009,2679,19188,5972
202010,2677,19142,5991
202011,2677,19119,5998
202012,2672,19101,6002
202101,2659,19075,6010
202102,2647,19045,6016
202103,2640,19006,6021
202104,2624,18985,6038
202105,2618,18954,6033
202106,2618,18927,6035
202107,2608,18890,6023
202108,2609,18865,6036
202109,2605,18807,6051
202110,2602,18765,6054
202111,2603,18744,6058
202112,2592,18722,6063
202201,2596,18726,6060
202202,2594,18679,6079
202203,2584,18641,6082
202204,2578,18647,6090
202205,2578,18640,6095
202206,2562,18610,6087
202207,2548,18611,6083
202208,2524,18591,6094
