ym,0-14,15-64,65
201404,4041,24913,5668
201405,4030,24924,5663
201406,4032,24924,5665
201407,4001,24927,5668
201408,3990,24899,5671
201409,3978,24864,5680
201410,3939,24878,5677
201411,3924,24866,5682
201412,3908,24829,5690
201501,3910,24790,5707
201502,3895,24740,5719
201503,3856,24696,5723
201504,3857,24639,5726
201505,3826,24646,5734
201506,3802,24642,5739
201507,3787,24642,5739
201508,3775,24657,5749
201509,3744,24629,5768
201510,3726,24594,5793
201511,3711,24574,5811
201512,3703,24585,5823
201601,3689,24554,5839
201602,3691,24547,5843
201603,3684,24516,5848
201604,3688,24472,5860
201605,3673,24475,5854
201606,3658,24453,5873
201607,3637,24435,5875
201608,3597,24410,5887
201609,3571,24361,5901
201610,3555,24361,5908
201611,3520,24319,5913
201612,3505,24303,5929
201701,3486,24267,5960
201702,3484,24213,5968
201703,3474,24177,5987
201704,3465,24152,5995
201705,3458,24123,6001
201706,3457,24101,6010
201707,3460,24119,6012
201708,3416,24151,6021
201709,3378,24111,6042
201710,3362,24068,6048
201711,3353,24048,6068
201712,3333,24013,6069
201801,3312,23964,6096
201802,3305,23937,6109
201803,3286,23871,6132
201804,3275,23854,6135
201805,3257,23825,6149
201806,3242,23792,6177
201807,3228,23767,6173
201808,3212,23745,6182
201809,3219,23716,6193
201810,3204,23697,6205
201811,3218,23703,6222
201812,3217,23652,6235
201901,3200,23636,6242
201902,3172,23610,6255
201903,3171,23584,6275
201904,3163,23548,6282
201905,3146,23560,6299
201906,3140,23545,6301
201907,3119,23508,6296
201908,3097,23527,6302
201909,3092,23498,6322
201910,3064,23458,6330
201911,3038,23430,6349
201912,3016,23411,6371
202001,3009,23429,6400
202002,3003,23393,6415
202003,2994,23366,6455
202004,2988,23384,6465
202005,2985,23409,6463
202006,2974,23418,6477
202007,2983,23458,6494
202008,2982,23476,6507
202009,2979,23541,6529
202010,2969,23533,6544
202011,2967,23525,6554
202012,2963,23497,6567
202101,2949,23480,6579
202102,2947,23501,6594
202103,2939,23472,6586
202104,2948,23436,6623
202105,2960,23400,6646
202106,2967,23395,6647
202107,2944,23370,6677
202108,2940,23302,6723
202109,2913,23275,6736
202110,2929,23262,6739
202111,2931,23270,6740
202112,2952,23265,6758
202201,2946,23220,6784
202202,2922,23187,6804
202203,2909,23139,6800
202204,2883,23130,6801
202205,2890,23147,6826
202206,2883,23174,6829
202207,2896,23206,6819
202208,2888,23220,6837
