ym,0-14,15-64,65
201404,1719,13588,4430
201405,1715,13572,4424
201406,1709,13561,4422
201407,1702,13563,4424
201408,1700,13542,4427
201409,1695,13519,4434
201410,1695,13505,4444
201411,1693,13502,4450
201412,1667,13447,4464
201501,1664,13424,4468
201502,1647,13403,4467
201503,1642,13366,4470
201504,1615,13349,4478
201505,1592,13330,4469
201506,1585,13328,4454
201507,1574,13320,4443
201508,1560,13311,4442
201509,1545,13301,4435
201510,1533,13303,4441
201511,1522,13300,4445
201512,1511,13281,4466
201601,1500,13264,4461
201602,1493,13235,4467
201603,1457,13232,4453
201604,1449,13193,4453
201605,1434,13157,4453
201606,1434,13146,4450
201607,1425,13108,4443
201608,1417,13052,4453
201609,1414,13031,4472
201610,1410,13002,4486
201611,1399,12978,4492
201612,1388,12939,4495
201701,1356,12925,4501
201702,1338,12912,4502
201703,1317,12905,4505
201704,1308,12881,4508
201705,1296,12866,4504
201706,1282,12851,4502
201707,1268,12828,4496
201708,1272,12791,4501
201709,1250,12761,4517
201710,1249,12748,4525
201711,1253,12725,4531
201712,1246,12708,4532
201801,1241,12684,4554
201802,1226,12663,4554
201803,1216,12647,4555
201804,1206,12619,4560
201805,1198,12630,4555
201806,1186,12627,4564
201807,1177,12610,4568
201808,1182,12571,4579
201809,1183,12533,4586
201810,1182,12506,4609
201811,1179,12475,4620
201812,1165,12451,4626
201901,1160,12418,4625
201902,1158,12389,4635
201903,1155,12362,4634
201904,1163,12318,4631
201905,1171,12299,4620
201906,1165,12260,4629
201907,1165,12222,4625
201908,1165,12194,4632
201909,1156,12159,4630
201910,1146,12144,4633
201911,1143,12124,4631
201912,1135,12108,4640
202001,1127,12060,4645
202002,1124,12052,4650
202003,1115,12038,4644
202004,1117,12025,4658
202005,1106,11996,4658
202006,1111,11987,4646
202007,1111,11967,4644
202008,1108,11933,4651
202009,1104,11883,4674
202010,1105,11847,4699
202011,1098,11831,4704
202012,1101,11800,4701
202101,1104,11779,4714
202102,1107,11743,4708
202103,1103,11688,4730
202104,1097,11647,4746
202105,1095,11630,4746
202106,1100,11613,4741
202107,1091,11597,4751
202108,1084,11549,4753
202109,1061,11478,4761
202110,1054,11464,4761
202111,1052,11428,4782
202112,1046,11405,4781
202201,1042,11367,4790
202202,1036,11337,4802
202203,1030,11323,4793
202204,1026,11298,4804
202205,1034,11276,4794
202206,1040,11287,4771
202207,1040,11303,4768
202208,1032,11274,4767
