ym,0-14,15-64,65
201404,4498,22848,6095
201405,4480,22847,6083
201406,4462,22845,6081
201407,4416,22835,6081
201408,4397,22851,6095
201409,4352,22829,6108
201410,4334,22824,6120
201411,4310,22815,6143
201412,4296,22748,6142
201501,4295,22728,6135
201502,4261,22729,6131
201503,4222,22716,6146
201504,4187,22703,6154
201505,4170,22699,6149
201506,4166,22680,6144
201507,4131,22683,6137
201508,4112,22660,6145
201509,4074,22656,6160
201510,4041,22658,6172
201511,4007,22648,6176
201512,3965,22636,6196
201601,3940,22631,6209
201602,3914,22618,6214
201603,3895,22579,6224
201604,3887,22543,6237
201605,3878,22518,6240
201606,3889,22517,6238
201607,3862,22508,6249
201608,3815,22501,6257
201609,3775,22482,6279
201610,3753,22451,6295
201611,3715,22418,6308
201612,3681,22386,6318
201701,3671,22339,6336
201702,3679,22301,6346
201703,3677,22297,6354
201704,3667,22290,6345
201705,3636,22260,6346
201706,3639,22233,6349
201707,3623,22210,6344
201708,3579,22192,6334
201709,3527,22170,6340
201710,3501,22145,6367
201711,3478,22138,6384
201712,3433,22094,6408
201801,3410,22075,6434
201802,3403,22070,6427
201803,3409,22055,6418
201804,3406,22049,6419
201805,3392,22047,6419
201806,3376,22048,6418
201807,3339,22058,6429
201808,3303,22053,6432
201809,3278,22065,6439
201810,3246,22060,6449
201811,3239,22052,6465
201812,3228,22009,6486
201901,3193,21977,6508
201902,3185,21961,6513
201903,3196,21937,6516
201904,3187,21929,6515
201905,3188,21922,6520
201906,3173,21906,6527
201907,3147,21889,6532
201908,3121,21889,6546
201909,3102,21835,6568
201910,3069,21826,6575
201911,3047,21815,6597
201912,3032,21787,6601
202001,3017,21763,6617
202002,3010,21718,6628
202003,3005,21693,6646
202004,3036,21698,6648
202005,3030,21674,6646
202006,3022,21672,6630
202007,3015,21633,6631
202008,2980,21645,6643
202009,2954,21629,6663
202010,2934,21599,6685
202011,2911,21586,6693
202012,2879,21579,6704
202101,2865,21528,6727
202102,2840,21506,6739
202103,2848,21464,6749
202104,2838,21449,6744
202105,2832,21424,6748
202106,2828,21421,6752
202107,2812,21392,6748
202108,2811,21320,6768
202109,2789,21258,6776
202110,2757,21227,6787
202111,2745,21178,6807
202112,2741,21142,6822
202201,2726,21116,6842
202202,2713,21066,6872
202203,2704,20991,6873
202204,2702,20981,6876
202205,2709,20962,6872
202206,2707,20932,6862
202207,2695,20916,6861
202208,2672,20882,6864
