ym,0-14,15-64,65
201404,1070,8868,1524
201405,1070,8931,1526
201406,1064,8986,1531
201407,1073,9056,1542
201408,1080,9086,1552
201409,1080,9113,1558
201410,1089,9155,1575
201411,1104,9206,1579
201412,1111,9286,1581
201501,1126,9323,1586
201502,1123,9351,1592
201503,1112,9398,1596
201504,1105,9453,1602
201505,1094,9482,1606
201506,1093,9510,1604
201507,1087,9591,1605
201508,1083,9649,1611
201509,1076,9654,1610
201510,1071,9679,1625
201511,1081,9709,1626
201512,1087,9737,1626
201601,1094,9737,1630
201602,1086,9732,1636
201603,1077,9749,1640
201604,1057,9759,1639
201605,1048,9768,1640
201606,1044,9776,1639
201607,1054,9786,1636
201608,1058,9801,1640
201609,1061,9812,1648
201610,1062,9815,1656
201611,1067,9824,1665
201612,1076,9814,1678
201701,1072,9809,1684
201702,1058,9812,1688
201703,1044,9837,1686
201704,1026,9844,1697
201705,1012,9846,1702
201706,1004,9873,1712
201707,1005,9886,1723
201708,1003,9899,1736
201709,1001,9914,1742
201710,998,9927,1753
201711,1005,9939,1760
201712,987,9940,1773
201801,976,9962,1774
201802,969,9970,1779
201803,961,10000,1784
201804,944,10031,1787
201805,941,10060,1792
201806,944,10067,1802
201807,941,10105,1811
201808,926,10099,1826
201809,927,10093,1828
201810,930,10091,1826
201811,931,10109,1831
201812,921,10111,1829
201901,910,10080,1842
201902,908,10064,1850
201903,877,10051,1873
201904,862,10041,1878
201905,861,10023,1886
201906,861,10018,1888
201907,864,10034,1891
201908,860,10027,1897
201909,864,9995,1907
201910,859,9981,1916
201911,857,9957,1929
201912,867,9946,1936
202001,871,9947,1948
202002,871,9926,1957
202003,867,9906,1960
202004,855,9883,1964
202005,855,9864,1971
202006,855,9871,1976
202007,852,9878,1985
202008,859,9901,1996
202009,844,9889,2002
202010,839,9880,2020
202011,839,9865,2032
202012,837,9838,2058
202101,833,9817,2065
202102,829,9778,2085
202103,825,9783,2085
202104,808,9757,2096
202105,807,9750,2108
202106,800,9742,2109
202107,808,9722,2116
202108,805,9715,2132
202109,809,9723,2148
202110,793,9752,2153
202111,793,9758,2159
202112,802,9766,2175
202201,799,9746,2179
202202,790,9726,2176
202203,772,9685,2177
202204,761,9667,2182
202205,753,9634,2191
202206,755,9637,2188
202207,753,9640,2198
202208,753,9636,2208
