ym,0-14,15-64,65
201404,3518,19404,5676
201405,3500,19368,5679
201406,3489,19398,5665
201407,3485,19371,5642
201408,3473,19318,5652
201409,3462,19272,5664
201410,3437,19284,5664
201411,3400,19286,5672
201412,3395,19262,5666
201501,3396,19266,5659
201502,3380,19281,5651
201503,3347,19248,5676
201504,3314,19227,5698
201505,3288,19213,5704
201506,3265,19204,5696
201507,3237,19171,5689
201508,3203,19172,5673
201509,3196,19126,5685
201510,3170,19124,5704
201511,3141,19111,5706
201512,3133,19080,5726
201601,3122,19047,5727
201602,3108,19038,5720
201603,3082,18995,5743
201604,3075,18984,5749
201605,3046,18961,5764
201606,3024,18950,5774
201607,2999,18907,5786
201608,2985,18888,5806
201609,2964,18823,5830
201610,2945,18823,5833
201611,2927,18788,5840
201612,2909,18764,5845
201701,2879,18739,5859
201702,2853,18717,5878
201703,2834,18700,5877
201704,2832,18669,5886
201705,2831,18661,5894
201706,2838,18637,5890
201707,2830,18628,5886
201708,2828,18588,5889
201709,2821,18584,5898
201710,2802,18588,5897
201711,2801,18541,5912
201712,2804,18528,5923
201801,2793,18504,5937
201802,2773,18495,5925
201803,2760,18466,5935
201804,2755,18477,5938
201805,2741,18414,5947
201806,2731,18402,5959
201807,2716,18383,5955
201808,2694,18344,5958
201809,2678,18292,5970
201810,2669,18269,5968
201811,2664,18267,5984
201812,2633,18226,5996
201901,2622,18202,5990
201902,2604,18157,5994
201903,2577,18120,5998
201904,2561,18104,5995
201905,2556,18093,5996
201906,2552,18084,5988
201907,2557,18073,5979
201908,2538,18028,5985
201909,2518,17981,5975
201910,2494,17966,5974
201911,2484,17936,5984
201912,2462,17917,5992
202001,2445,17892,6011
202002,2439,17857,6025
202003,2435,17850,6021
202004,2431,17822,6019
202005,2427,17796,6031
202006,2410,17785,6037
202007,2406,17743,6040
202008,2395,17714,6045
202009,2375,17691,6038
202010,2368,17652,6056
202011,2364,17630,6066
202012,2348,17610,6071
202101,2344,17571,6080
202102,2320,17576,6071
202103,2300,17545,6084
202104,2288,17525,6087
202105,2277,17496,6090
202106,2285,17465,6079
202107,2283,17440,6085
202108,2275,17377,6117
202109,2260,17346,6133
202110,2251,17333,6128
202111,2251,17312,6135
202112,2233,17299,6128
202201,2209,17262,6125
202202,2200,17202,6146
202203,2171,17167,6154
202204,2143,17139,6157
202205,2141,17100,6168
202206,2137,17072,6158
202207,2126,17072,6143
202208,2146,17063,6124
