ym,0-14,15-64,65
201404,2513,13576,3030
201405,2554,13570,3023
201406,2570,13582,3023
201407,2571,13585,3018
201408,2554,13574,3028
201409,2527,13549,3036
201410,2472,13536,3050
201411,2437,13519,3053
201412,2400,13507,3063
201501,2398,13481,3056
201502,2371,13466,3049
201503,2344,13433,3069
201504,2397,13436,3075
201505,2458,13421,3064
201506,2438,13428,3055
201507,2399,13421,3047
201508,2379,13426,3048
201509,2353,13394,3057
201510,2304,13381,3064
201511,2257,13372,3070
201512,2220,13370,3074
201601,2212,13348,3081
201602,2193,13338,3087
201603,2202,13317,3088
201604,2271,13281,3113
201605,2288,13265,3113
201606,2297,13253,3113
201607,2276,13216,3129
201608,2259,13192,3138
201609,2238,13170,3160
201610,2172,13171,3163
201611,2142,13167,3169
201612,2125,13154,3174
201701,2090,13136,3185
201702,2057,13118,3181
201703,2038,13092,3181
201704,2107,13072,3193
201705,2128,13077,3196
201706,2137,13080,3193
201707,2119,13075,3187
201708,2121,13050,3197
201709,2107,13046,3202
201710,2043,13035,3214
201711,2010,13017,3230
201712,1997,13001,3232
201801,1967,12979,3252
201802,1956,12963,3257
201803,1963,12925,3283
201804,1998,12926,3277
201805,2058,12928,3273
201806,2068,12922,3273
201807,2055,12922,3265
201808,2053,12906,3266
201809,2032,12882,3278
201810,1939,12881,3269
201811,1886,12872,3279
201812,1871,12853,3271
201901,1858,12808,3274
201902,1836,12777,3295
201903,1842,12736,3305
201904,1946,12714,3311
201905,1984,12720,3318
201906,1977,12703,3331
201907,1987,12675,3329
201908,1961,12650,3326
201909,1952,12633,3329
201910,1871,12626,3327
201911,1846,12621,3341
201912,1826,12598,3352
202001,1816,12568,3371
202002,1800,12535,3395
202003,1835,12513,3401
202004,1938,12475,3417
202005,1959,12461,3414
202006,1969,12434,3420
202007,1957,12412,3417
202008,1940,12362,3429
202009,1888,12332,3428
202010,1761,12326,3431
202011,1731,12307,3427
202012,1728,12280,3426
202101,1721,12249,3437
202102,1707,12234,3435
202103,1709,12219,3448
202104,1800,12200,3453
202105,1849,12157,3462
202106,1849,12131,3469
202107,1834,12103,3471
202108,1822,12085,3464
202109,1776,12039,3472
202110,1693,12027,3480
202111,1666,12017,3484
202112,1655,11993,3483
202201,1632,11978,3482
202202,1624,11948,3499
202203,1624,11911,3503
202204,1683,11892,3518
202205,1742,11872,3533
202206,1750,11858,3534
202207,1737,11868,3530
202208,1728,11864,3528
