ym,0-14,15-64,65
201404,1183,4368,530
201405,1176,4394,526
201406,1191,4409,529
201407,1186,4414,532
201408,1179,4422,533
201409,1182,4419,534
201410,1186,4429,532
201411,1190,4428,537
201412,1179,4411,537
201501,1172,4409,540
201502,1168,4418,541
201503,1171,4416,537
201504,1160,4407,534
201505,1161,4409,532
201506,1153,4404,540
201507,1155,4403,540
201508,1152,4396,538
201509,1144,4397,539
201510,1142,4397,541
201511,1154,4391,542
201512,1160,4378,542
201601,1153,4381,544
201602,1149,4385,544
201603,1133,4391,544
201604,1128,4391,544
201605,1114,4394,544
201606,1121,4393,545
201607,1126,4393,549
201608,1137,4396,548
201609,1129,4397,553
201610,1134,4399,551
201611,1127,4399,554
201612,1130,4395,558
201701,1133,4395,564
201702,1141,4395,564
201703,1143,4388,567
201704,1142,4383,565
201705,1128,4376,560
201706,1128,4379,558
201707,1135,4388,560
201708,1129,4393,562
201709,1135,4398,562
201710,1129,4398,557
201711,1125,4404,561
201712,1127,4414,561
201801,1117,4436,565
201802,1114,4470,560
201803,1109,4494,560
201804,1090,4534,560
201805,1082,4562,563
201806,1085,4574,565
201807,1084,4580,566
201808,1074,4588,573
201809,1082,4582,574
201810,1080,4592,575
201811,1084,4593,575
201812,1081,4580,581
201901,1085,4567,583
201902,1080,4554,587
201903,1066,4547,591
201904,1049,4539,590
201905,1043,4528,593
201906,1044,4510,595
201907,1048,4510,591
201908,1036,4511,593
201909,1044,4492,596
201910,1042,4494,601
201911,1042,4492,605
201912,1051,4488,604
202001,1045,4488,608
202002,1053,4472,617
202003,1061,4465,616
202004,1047,4463,622
202005,1039,4449,628
202006,1036,4450,624
202007,1033,4448,624
202008,1025,4456,624
202009,1035,4463,629
202010,1038,4468,632
202011,1031,4473,635
202012,1023,4475,639
202101,1021,4453,645
202102,1006,4441,646
202103,1001,4436,649
202104,989,4437,657
202105,987,4430,664
202106,981,4427,667
202107,986,4434,679
202108,994,4430,676
202109,993,4434,677
202110,978,4429,676
202111,976,4434,678
202112,984,4422,682
202201,984,4422,681
202202,974,4442,683
202203,965,4465,691
202204,960,4459,699
202205,959,4478,705
202206,968,4485,709
202207,974,4509,711
202208,964,4494,714
