ym,0-14,15-64,65
201404,1753,13284,3583
201405,1730,13289,3574
201406,1710,13277,3570
201407,1700,13302,3555
201408,1694,13274,3565
201409,1689,13279,3566
201410,1685,13274,3583
201411,1686,13262,3596
201412,1687,13239,3612
201501,1673,13231,3617
201502,1653,13240,3614
201503,1639,13196,3627
201504,1607,13170,3634
201505,1587,13149,3636
201506,1578,13145,3628
201507,1575,13135,3623
201508,1560,13143,3620
201509,1560,13108,3626
201510,1558,13077,3622
201511,1568,13059,3623
201512,1572,13029,3633
201601,1559,13015,3638
201602,1536,12985,3638
201603,1527,12973,3646
201604,1518,12949,3649
201605,1491,12937,3662
201606,1482,12927,3666
201607,1486,12907,3663
201608,1458,12909,3678
201609,1460,12887,3688
201610,1465,12875,3694
201611,1458,12868,3694
201612,1460,12850,3700
201701,1455,12822,3730
201702,1437,12828,3736
201703,1405,12797,3736
201704,1394,12757,3745
201705,1390,12750,3749
201706,1386,12736,3752
201707,1377,12735,3753
201708,1374,12717,3752
201709,1387,12698,3765
201710,1387,12664,3784
201711,1388,12647,3786
201712,1385,12630,3793
201801,1389,12608,3814
201802,1383,12599,3830
201803,1364,12587,3843
201804,1351,12592,3844
201805,1333,12591,3854
201806,1312,12589,3860
201807,1316,12558,3872
201808,1308,12536,3874
201809,1307,12516,3877
201810,1318,12495,3885
201811,1327,12484,3881
201812,1333,12469,3885
201901,1340,12434,3887
201902,1328,12432,3907
201903,1304,12400,3912
201904,1280,12373,3930
201905,1277,12344,3941
201906,1278,12317,3960
201907,1286,12323,3962
201908,1299,12307,3963
201909,1305,12277,3967
201910,1316,12252,3974
201911,1308,12235,3985
201912,1306,12200,4003
202001,1296,12165,4016
202002,1299,12127,4030
202003,1292,12069,4034
202004,1277,12047,4042
202005,1270,12005,4064
202006,1278,11972,4079
202007,1276,11951,4091
202008,1269,11939,4089
202009,1271,11921,4107
202010,1267,11898,4122
202011,1264,11863,4124
202012,1260,11832,4139
202101,1260,11808,4139
202102,1248,11779,4153
202103,1230,11731,4167
202104,1222,11711,4167
202105,1226,11671,4174
202106,1219,11643,4167
202107,1208,11604,4171
202108,1207,11566,4177
202109,1208,11525,4189
202110,1202,11505,4200
202111,1199,11470,4213
202112,1195,11433,4222
202201,1188,11380,4243
202202,1179,11343,4245
202203,1140,11292,4237
202204,1133,11251,4251
202205,1125,11230,4257
202206,1122,11206,4265
202207,1111,11191,4257
202208,1112,11165,4264
