ym,0-14,15-64,65
201404,14417,75007,13240
201405,14404,74986,13226
201406,14379,74974,13227
201407,14330,74964,13239
201408,14247,74981,13267
201409,14136,74923,13323
201410,14011,74937,13363
201411,13960,74938,13415
201412,13934,74909,13471
201501,13937,74905,13514
201502,13889,74852,13554
201503,13894,74777,13612
201504,13871,74753,13655
201505,13814,74736,13668
201506,13783,74710,13685
201507,13711,74654,13695
201508,13601,74580,13749
201509,13470,74513,13812
201510,13361,74475,13883
201511,13273,74473,13927
201512,13235,74393,13994
201601,13187,74327,14069
201602,13171,74245,14091
201603,13198,74144,14139
201604,13214,74068,14174
201605,13185,74027,14194
201606,13142,74020,14240
201607,13083,73957,14274
201608,13009,73877,14325
201609,12890,73815,14386
201610,12800,73754,14457
201611,12731,73705,14522
201612,12725,73650,14585
201701,12690,73550,14673
201702,12699,73460,14709
201703,12674,73361,14762
201704,12669,73307,14817
201705,12641,73209,14876
201706,12617,73139,14909
201707,12565,73072,14942
201708,12481,72977,14991
201709,12372,72917,15035
201710,12283,72847,15095
201711,12224,72841,15161
201712,12202,72753,15225
201801,12163,72683,15298
201802,12169,72619,15366
201803,12167,72463,15422
201804,12171,72361,15453
201805,12106,72246,15498
201806,12065,72202,15514
201807,11988,72096,15561
201808,11949,72065,15612
201809,11869,72029,15670
201810,11825,71979,15734
201811,11794,71916,15803
201812,11823,71841,15855
201901,11826,71744,15906
201902,11844,71646,15993
201903,11892,71583,16032
201904,11900,71481,16066
201905,11852,71419,16116
201906,11844,71369,16151
201907,11805,71326,16175
201908,11805,71334,16245
201909,11725,71284,16271
201910,11677,71223,16351
201911,11660,71168,16403
201912,11642,71085,16472
202001,11645,71052,16527
202002,11709,70968,16587
202003,11769,70901,16654
202004,11783,70800,16726
202005,11768,70728,16788
202006,11748,70680,16835
202007,11718,70612,16880
202008,11715,70483,16962
202009,11664,70402,17026
202010,11681,70350,17082
202011,11708,70262,17150
202012,11778,70101,17202
202101,11791,69978,17257
202102,11810,69884,17308
202103,11870,69788,17366
202104,11899,69694,17425
202105,11868,69570,17463
202106,11839,69481,17498
202107,11790,69407,17539
202108,11731,69289,17618
202109,11704,69169,17667
202110,11668,69041,17715
202111,11630,68953,17752
202112,11635,68823,17786
202201,11618,68733,17851
202202,11667,68648,17928
202203,11714,68421,17944
202204,11674,68202,17983
202205,11638,68163,18019
202206,11626,68053,18022
202207,11594,67983,18036
202208,11549,67894,18082
