ym,0-14,15-64,65
201404,2611,15045,2439
201405,2651,15098,2436
201406,2643,15114,2436
201407,2651,15150,2436
201408,2640,15161,2431
201409,2639,15183,2447
201410,2632,15174,2455
201411,2638,15173,2463
201412,2645,15187,2454
201501,2642,15183,2452
201502,2647,15151,2450
201503,2623,15147,2454
201504,2607,15157,2465
201505,2590,15117,2468
201506,2598,15120,2464
201507,2585,15119,2458
201508,2573,15143,2464
201509,2568,15140,2475
201510,2561,15158,2487
201511,2552,15139,2500
201512,2568,15137,2511
201601,2560,15130,2522
201602,2553,15097,2535
201603,2544,15097,2539
201604,2545,15095,2552
201605,2540,15093,2566
201606,2539,15085,2572
201607,2529,15106,2572
201608,2523,15132,2582
201609,2544,15119,2589
201610,2548,15110,2605
201611,2540,15108,2613
201612,2540,15125,2609
201701,2533,15122,2625
201702,2514,15096,2624
201703,2495,15069,2627
201704,2487,15037,2641
201705,2468,15032,2655
201706,2469,15027,2659
201707,2469,15006,2666
201708,2466,15045,2672
201709,2479,15026,2688
201710,2477,15028,2699
201711,2472,15025,2713
201712,2454,15009,2722
201801,2456,14973,2741
201802,2439,14980,2742
201803,2449,14989,2717
201804,2448,14971,2685
201805,2468,14940,2698
201806,2459,14935,2704
201807,2444,14951,2713
201808,2445,14974,2719
201809,2441,14975,2727
201810,2424,14955,2733
201811,2432,14948,2750
201812,2415,14973,2771
201901,2389,14953,2788
201902,2396,14948,2798
201903,2401,14933,2811
201904,2404,14914,2816
201905,2415,14902,2814
201906,2407,14894,2819
201907,2403,14901,2820
201908,2401,14902,2834
201909,2398,14895,2841
201910,2383,14898,2848
201911,2357,14875,2863
201912,2347,14869,2867
202001,2351,14867,2892
202002,2339,14845,2910
202003,2336,14838,2929
202004,2327,14840,2942
202005,2355,14830,2952
202006,2351,14825,2965
202007,2348,14811,2987
202008,2348,14805,3009
202009,2331,14800,3025
202010,2310,14765,3050
202011,2309,14746,3064
202012,2288,14701,3069
202101,2281,14699,3076
202102,2286,14655,3095
202103,2269,14625,3105
202104,2261,14631,3121
202105,2259,14632,3128
202106,2249,14618,3133
202107,2256,14605,3154
202108,2257,14605,3157
202109,2274,14693,3169
202110,2249,14737,3179
202111,2244,14774,3196
202112,2247,14806,3199
202201,2231,14813,3220
202202,2238,14807,3229
202203,2239,14797,3235
202204,2219,14786,3245
202205,2214,14771,3257
202206,2208,14769,3273
202207,2207,14783,3282
202208,2219,14765,3289
