ym,0-14,15-64,65
201404,1042,4973,497
201405,1023,4968,496
201406,1015,4987,497
201407,1007,4992,502
201408,1015,4994,503
201409,1016,4994,501
201410,1016,4997,499
201411,1023,4997,504
201412,1024,4997,509
201501,1014,5004,507
201502,999,5008,506
201503,999,5007,504
201504,980,5006,507
201505,964,4999,505
201506,972,5005,500
201507,979,4990,499
201508,969,4979,503
201509,968,4962,507
201510,959,4945,510
201511,960,4950,511
201512,960,4947,513
201601,960,4945,514
201602,969,4952,511
201603,974,4952,510
201604,974,4950,514
201605,967,4956,518
201606,968,4960,519
201607,970,4953,520
201608,969,4955,518
201609,974,4948,522
201610,981,4941,523
201611,979,4952,523
201612,975,4944,521
201701,963,4933,522
201702,964,4923,522
201703,960,4918,520
201704,955,4907,521
201705,957,4898,521
201706,950,4894,519
201707,963,4894,517
201708,957,4913,523
201709,959,4893,531
201710,965,4888,534
201711,958,4889,537
201712,959,4890,535
201801,954,4899,535
201802,960,4911,536
201803,953,4928,541
201804,947,4942,546
201805,934,4961,553
201806,933,4976,550
201807,935,4974,545
201808,936,4969,546
201809,935,4966,549
201810,931,4960,548
201811,939,4945,556
201812,934,4931,554
201901,932,4915,555
201902,939,4905,561
201903,935,4883,566
201904,937,4877,569
201905,932,4867,569
201906,930,4852,574
201907,929,4846,576
201908,922,4841,579
201909,924,4828,578
201910,925,4821,579
201911,924,4815,585
201912,918,4808,587
202001,922,4798,588
202002,920,4792,590
202003,919,4792,595
202004,916,4787,602
202005,910,4769,603
202006,903,4758,600
202007,902,4753,599
202008,908,4758,600
202009,895,4754,604
202010,887,4746,606
202011,884,4739,610
202012,892,4733,612
202101,884,4713,614
202102,883,4701,617
202103,876,4703,616
202104,879,4713,612
202105,878,4717,614
202106,872,4708,613
202107,872,4683,619
202108,875,4686,624
202109,872,4682,629
202110,869,4667,635
202111,864,4664,640
202112,860,4653,639
202201,860,4652,640
202202,856,4652,643
202203,846,4650,647
202204,845,4655,649
202205,842,4657,650
202206,834,4661,651
202207,832,4671,656
202208,840,4682,654
