ym,0-14,15-64,65
201404,1002,5753,665
201405,998,5776,661
201406,1002,5812,661
201407,998,5838,668
201408,997,5813,669
201409,1003,5833,673
201410,1005,5837,679
201411,1006,5848,680
201412,1007,5806,683
201501,1016,5815,687
201502,1020,5810,693
201503,1019,5779,693
201504,1016,5757,695
201505,1020,5740,694
201506,1019,5741,698
201507,1019,5733,711
201508,1013,5726,713
201509,1007,5732,715
201510,1004,5719,715
201511,1009,5702,713
201512,1011,5688,710
201601,1008,5677,712
201602,1003,5666,710
201603,1001,5668,707
201604,1014,5652,706
201605,1012,5641,706
201606,1023,5630,706
201607,1027,5619,714
201608,1030,5619,719
201609,1024,5647,724
201610,1020,5648,725
201611,1027,5646,724
201612,1026,5634,722
201701,1025,5661,725
201702,1017,5647,732
201703,1014,5660,739
201704,1016,5682,738
201705,1017,5681,741
201706,1022,5675,745
201707,1022,5688,747
201708,1023,5705,755
201709,1018,5709,758
201710,1018,5728,765
201711,1013,5743,765
201712,1010,5772,762
201801,1006,5766,767
201802,1002,5773,766
201803,986,5817,765
201804,991,5839,771
201805,975,5874,780
201806,971,5893,788
201807,966,5925,791
201808,957,5917,793
201809,950,5912,792
201810,954,5902,801
201811,960,5893,802
201812,968,5891,804
201901,966,5884,812
201902,956,5869,819
201903,955,5849,818
201904,965,5838,821
201905,979,5835,823
201906,981,5807,824
201907,981,5783,834
201908,976,5769,841
201909,982,5743,847
201910,980,5764,846
201911,978,5761,863
201912,978,5749,872
202001,976,5746,875
202002,974,5725,881
202003,974,5711,885
202004,981,5713,889
202005,983,5698,896
202006,982,5697,904
202007,986,5706,911
202008,977,5675,920
202009,974,5694,928
202010,965,5695,931
202011,971,5709,935
202012,968,5723,947
202101,965,5722,953
202102,957,5712,960
202103,949,5718,962
202104,953,5738,968
202105,959,5722,975
202106,953,5717,979
202107,951,5706,987
202108,956,5684,996
202109,950,5674,1002
202110,949,5671,1007
202111,950,5663,1016
202112,950,5678,1029
202201,940,5671,1032
202202,933,5678,1042
202203,935,5688,1044
202204,921,5726,1047
202205,915,5742,1057
202206,926,5759,1063
202207,920,5787,1068
202208,918,5786,1079
