ym,0-14,15-64,65
201404,161,958,80
201405,161,965,81
201406,159,974,82
201407,160,978,81
201408,160,985,81
201409,161,991,82
201410,164,1004,82
201411,166,1004,84
201412,167,1015,84
201501,166,1017,85
201502,163,1019,85
201503,159,1017,86
201504,157,1021,86
201505,157,1021,87
201506,159,1023,89
201507,158,1017,89
201508,159,1019,90
201509,157,1014,90
201510,157,1010,91
201511,159,1016,92
201512,164,1015,91
201601,166,1014,91
201602,166,1009,91
201603,169,1016,92
201604,168,1015,93
201605,170,1018,92
201606,168,1020,92
201607,172,1024,93
201608,174,1023,93
201609,175,1021,93
201610,176,1026,93
201611,178,1029,94
201612,179,1030,98
201701,179,1035,99
201702,179,1039,99
201703,177,1038,98
201704,175,1039,97
201705,175,1038,98
201706,181,1038,98
201707,181,1043,98
201708,181,1046,100
201709,183,1051,99
201710,181,1056,100
201711,180,1063,101
201712,181,1068,103
201801,183,1073,104
201802,182,1075,102
201803,177,1064,104
201804,174,1067,104
201805,176,1066,105
201806,179,1064,107
201807,173,1064,108
201808,176,1063,109
201809,178,1062,110
201810,177,1060,111
201811,178,1054,112
201812,181,1056,113
201901,186,1059,113
201902,183,1064,112
201903,181,1059,116
201904,181,1051,118
201905,181,1050,119
201906,179,1054,119
201907,177,1053,121
201908,180,1046,122
201909,181,1038,122
201910,180,1045,122
201911,181,1045,120
201912,180,1051,121
202001,180,1049,122
202002,180,1044,122
202003,178,1043,124
202004,177,1041,123
202005,176,1044,121
202006,176,1042,121
202007,179,1074,122
202008,177,1083,123
202009,177,1083,123
202010,182,1088,127
202011,175,1114,129
202012,175,1130,130
202101,175,1150,129
202102,171,1151,130
202103,170,1159,130
202104,169,1162,131
202105,172,1155,133
202106,171,1147,136
202107,172,1155,136
202108,171,1146,135
202109,168,1152,136
202110,171,1168,136
202111,171,1173,140
202112,170,1183,141
202201,169,1190,145
202202,166,1192,146
202203,162,1186,149
202204,162,1188,148
202205,162,1191,147
202206,160,1188,147
202207,157,1193,148
202208,156,1197,149
