ym,0-14,15-64,65
201404,3907,24136,6915
201405,3894,24131,6907
201406,3882,24121,6899
201407,3874,24113,6890
201408,3856,24114,6896
201409,3862,24094,6895
201410,3860,24080,6914
201411,3854,24073,6912
201412,3827,24023,6894
201501,3802,23989,6892
201502,3776,23987,6893
201503,3735,23940,6900
201504,3699,23897,6906
201505,3681,23897,6891
201506,3689,23892,6880
201507,3678,23908,6868
201508,3660,23880,6859
201509,3644,23862,6862
201510,3609,23861,6866
201511,3599,23855,6882
201512,3606,23861,6885
201601,3578,23837,6907
201602,3559,23797,6896
201603,3537,23757,6904
201604,3525,23732,6909
201605,3517,23694,6912
201606,3510,23685,6926
201607,3531,23677,6926
201608,3534,23661,6942
201609,3518,23638,6944
201610,3495,23623,6969
201611,3487,23599,6990
201612,3472,23543,7024
201701,3469,23502,7020
201702,3463,23477,7030
201703,3433,23456,7036
201704,3431,23461,7033
201705,3410,23436,7017
201706,3404,23421,7019
201707,3386,23411,7012
201708,3378,23377,7022
201709,3375,23340,7032
201710,3358,23329,7040
201711,3349,23321,7065
201712,3343,23294,7077
201801,3335,23266,7088
201802,3323,23241,7092
201803,3277,23224,7115
201804,3276,23210,7133
201805,3269,23183,7153
201806,3252,23183,7159
201807,3243,23191,7149
201808,3238,23184,7150
201809,3231,23164,7157
201810,3237,23129,7183
201811,3246,23114,7179
201812,3219,23089,7181
201901,3196,23065,7183
201902,3160,23057,7184
201903,3156,23037,7192
201904,3131,23016,7189
201905,3140,22990,7201
201906,3133,22938,7203
201907,3125,22929,7192
201908,3108,22902,7197
201909,3092,22870,7210
201910,3101,22843,7221
201911,3099,22814,7228
201912,3091,22772,7221
202001,3076,22755,7215
202002,3068,22736,7230
202003,3055,22712,7236
202004,3061,22667,7247
202005,3059,22660,7232
202006,3064,22634,7251
202007,3051,22646,7231
202008,3035,22633,7225
202009,3026,22576,7227
202010,3022,22563,7238
202011,3012,22537,7242
202012,2996,22473,7251
202101,2994,22437,7254
202102,2973,22391,7270
202103,2944,22334,7273
202104,2933,22310,7280
202105,2917,22258,7281
202106,2915,22230,7268
202107,2906,22199,7267
202108,2864,22119,7320
202109,2862,22056,7339
202110,2856,22032,7342
202111,2841,21986,7341
202112,2832,21939,7339
202201,2815,21924,7330
202202,2792,21880,7338
202203,2773,21822,7342
202204,2757,21779,7340
202205,2754,21758,7341
202206,2757,21753,7338
202207,2757,21731,7318
202208,2756,21704,7312
